frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,stage2_map_policy,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,persistent_voxel_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_persistent_voxel_quota_rejected,total_voxel_rejected
1,1706584505.472604513,1706584505.572421074,42,41,0,0.009211181,0.012499862,1,0,1,0,1,0,-0.046471458,0.008139063,0.006786744,-0.002148676,0.000942425,0.000232647,0.999997220,1068,771,0.721910112,0.029463920,0.013398337,0.009735886,0.022536926,106.122171255,749,0.957790738,17.456575791,278.384771025,421.543915674,0.024333614,0.023306510,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000009521,0.000016228,0.000096859,0.971223347,-0.238022161,-0.008405984,0.000000000,0.000000068,0.000001313,0.972308979,-0.233557897,-0.008121488,1.000000000,0.022536926,0.000000000,0.000000000,0.000000000,106.122171255,1,0.024333614,0.023306510,640,600,40,0.599250936,63,0,0,0,0,0,0,365,63,1386,640,63,0,0,0,365
2,1706584505.572432756,1706584505.672264338,43,42,0,0.010001731,0.017551761,1,0,1,1,1,0,-0.019333717,0.000134341,0.002828341,0.000619829,0.000322542,0.000474005,0.999999644,1088,835,0.767463235,0.022044111,0.011902747,0.008017411,0.017417567,114.864539075,786,0.952932001,13.974442759,291.916224647,443.113885622,0.018657354,0.017779189,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000008649,0.000012872,0.000112390,0.968637662,-0.248292118,0.009597063,0.000000087,0.000000120,0.000001132,0.974234620,-0.225498741,-0.004150127,1.000000000,0.019977247,0.144051501,0.028569241,0.000487167,110.493355165,2,0.021495484,0.020542849,448,433,15,0.411764706,53,0,0,0,0,0,0,587,53,1499,1088,116,0,0,0,952
3,1706584505.673074007,1706584505.772902966,44,43,0,0.010752040,0.015270075,1,0,1,1,1,0,-0.141216029,0.030073866,0.000456587,0.002282793,0.000104351,0.000546159,0.999997240,1121,834,0.743978591,0.025814436,0.013542616,0.009470504,0.019329789,120.432846512,825,0.951513433,19.462350746,290.249337135,475.286894620,0.024792848,0.023590728,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000006867,0.000010738,0.000087337,0.969125486,-0.246288253,0.011742632,0.000000023,0.000000060,0.000001184,0.973515078,-0.228435423,-0.009254772,1.000000000,0.019761427,0.117530847,0.154097320,0.000631549,113.806518947,3,0.022594605,0.021558809,397,380,17,0.354148082,51,0,0,0,0,0,0,673,51,1674,1485,167,0,0,0,1625
4,1706584505.772915125,1706584505.872747898,45,44,0,0.010851499,0.016644961,1,0,1,0,1,0,-0.164721944,0.038496555,0.001119789,0.000473711,0.000385446,0.000406119,0.999999731,1087,858,0.789328427,0.024321101,0.010915913,0.007896283,0.022007354,109.935261756,783,0.952005618,15.770795123,296.087506525,433.562097465,0.021156914,0.020141501,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000005751,0.000008473,0.000064957,0.969509616,-0.245052778,0.000490653,0.000000020,0.000000039,0.000001108,0.973237975,-0.229798134,0.000813052,1.000000000,0.020322909,0.106167516,0.179075501,0.000911738,112.838704650,4,0.022235182,0.021204482,309,297,12,0.284268629,48,0,0,0,0,0,0,730,48,1783,1794,215,0,0,0,2355
5,1706584505.872760773,1706584505.972007751,46,45,0,0.007729339,0.012758232,1,0,1,0,1,0,-0.132706280,0.029113265,-0.002893761,0.001588741,0.000027786,0.000575938,0.999998572,1063,841,0.791157103,0.022255429,0.012044313,0.008153099,0.028699248,97.011631538,784,0.951407250,18.005954551,283.040429181,444.856900290,0.024139798,0.022966779,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000005126,0.000008147,0.000046798,0.970260865,-0.241952638,0.007264620,0.000000020,0.000000049,0.000001109,0.977996040,-0.208295219,0.011698182,1.000000000,0.021998177,0.109894792,0.212678438,0.001251098,109.673290027,5,0.022616105,0.021556941,260,247,13,0.244590781,44,0,0,0,0,0,0,759,44,1876,2054,259,0,0,0,3114
6,1706584505.972593784,1706584506.070913076,47,46,0,0.013196522,0.019295452,1,0,1,0,1,0,-0.122417020,0.024158224,-0.004411042,0.004260129,-0.000289706,0.000613489,0.999990695,1059,842,0.795089707,0.026483164,0.013243701,0.008563471,0.032877133,89.705620977,811,0.947790783,20.610701716,289.543052020,458.504571089,0.026813867,0.025413936,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004776,0.000007304,0.000036095,0.969512244,-0.244546801,0.015584286,0.000000019,0.000000033,0.000001113,0.975169091,-0.221056122,0.013395361,1.000000000,0.023811336,0.102366258,0.224199005,0.001323634,106.345345185,6,0.023315732,0.022199774,264,253,11,0.249291785,49,0,0,0,0,0,0,746,49,1965,2318,308,0,0,0,3860
7,1706584506.072422743,1706584506.169879913,48,47,0,0.012171430,0.016855576,1,0,1,0,1,0,-0.059102759,0.010920520,0.003193302,0.003407500,0.000191270,0.000358533,0.999994112,1076,865,0.803903346,0.023897327,0.012970933,0.008149223,0.024527783,107.961383396,818,0.954150211,16.479061364,292.009657004,472.006153886,0.021113606,0.020145552,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004707,0.000006963,0.000035934,0.967076902,-0.253425089,0.023194628,0.000000017,0.000000039,0.000000972,0.976977452,-0.212969151,0.012617412,1.000000000,0.023913686,0.096805137,0.289327789,0.001829768,106.576207787,7,0.023001143,0.021906313,292,288,4,0.271375465,34,0,0,0,0,0,0,750,34,2037,2610,342,0,0,0,4610
8,1706584506.173064470,1706584506.272882462,49,48,0,0.013802123,0.019243354,1,0,1,0,1,0,-0.058760713,0.004894741,0.008522105,0.003060804,0.000412239,0.000648580,0.999995020,1060,858,0.809433962,0.024983063,0.012324983,0.008138932,0.027713001,101.120587805,825,0.949016585,14.883987501,300.898960916,467.155733912,0.019010413,0.018041197,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004547,0.000006442,0.000034433,0.968148790,-0.249491464,0.021022104,0.000000017,0.000000030,0.000001011,0.974845941,-0.222543794,0.012233163,1.000000000,0.024388600,0.090521037,0.297379072,0.002411080,105.894255289,8,0.022502302,0.021423174,229,226,3,0.216037736,49,0,0,0,0,0,0,782,49,2098,2839,391,0,0,0,5392
9,1706584506.272894382,1706584506.372726202,50,49,0,0.011821941,0.019182320,1,0,1,0,1,0,-0.051074328,-0.001771978,0.007825161,0.000761432,0.000485167,0.000610340,0.999999406,1084,856,0.789667897,0.025545803,0.012041790,0.009104313,0.037338058,90.981491642,853,0.950469239,19.069154955,301.690998966,489.990106953,0.023520381,0.022355399,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004367,0.000006342,0.000028570,0.968145757,-0.248746883,0.028614357,0.000000015,0.000000028,0.000001087,0.975694119,-0.218500501,0.016688845,1.000000000,0.025827429,0.085479559,0.307577669,0.002489338,104.237281551,9,0.022615422,0.021526754,239,238,1,0.220479705,46,0,0,0,0,0,0,799,46,2164,3078,437,0,0,0,6191
10,1706584506.372737408,1706584506.472570419,51,50,0,0.011162687,0.021739945,1,0,1,0,1,0,-0.047194235,0.001288699,0.014213750,0.001979849,0.000756357,0.000596804,0.999997576,1061,868,0.818096136,0.026958976,0.012726024,0.009004209,0.035171228,94.641211720,833,0.954126917,18.114581150,297.619577737,479.053563067,0.022791722,0.021746196,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004299,0.000006393,0.000026710,0.968488538,-0.248756393,0.012255941,0.000000014,0.000000033,0.000000995,0.976200272,-0.216745669,0.007371812,1.000000000,0.026761809,0.083844080,0.315654608,0.002514155,103.277674568,10,0.022633052,0.021548699,196,188,8,0.184731385,43,0,0,0,0,0,0,822,43,2214,3274,480,0,0,0,7013
11,1706584506.472582340,1706584506.572411060,52,51,0,0.012967550,0.021201909,1,0,1,0,1,0,-0.037892451,-0.000376062,0.009878557,0.002275395,0.000419424,0.000551437,0.999997171,1101,865,0.785649410,0.025239299,0.011941987,0.008048312,0.036132801,91.747108110,863,0.949855389,21.465316045,306.591161425,491.668722981,0.026185990,0.024872904,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004348,0.000006641,0.000025757,0.968853588,-0.247473440,-0.008923044,0.000000015,0.000000031,0.000001112,0.976210278,-0.216467010,0.012471071,1.000000000,0.027613717,0.079927329,0.326051170,0.002605978,102.229441253,11,0.022956046,0.021850899,209,205,4,0.189827430,42,0,0,0,0,0,0,850,42,2265,3483,522,0,0,0,7863
12,1706584506.572422504,1706584506.672256708,53,52,0,0.011302497,0.021064260,1,0,1,0,1,0,-0.046623925,0.004621113,0.006402871,0.001902897,0.000344580,0.000504466,0.999998003,1088,865,0.795036765,0.025390481,0.012103187,0.008411300,0.039635710,90.565225675,854,0.951906062,18.914285776,307.760941447,486.252549442,0.023266871,0.022147876,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004177,0.000006579,0.000024268,0.966703885,-0.255881248,0.002895874,0.000000014,0.000000036,0.000001070,0.978814987,-0.204644683,0.006463349,1.000000000,0.028615550,0.076505980,0.336694985,0.002700515,101.257423288,12,0.022981948,0.021875647,203,201,2,0.186580882,30,0,0,0,0,0,0,855,30,2315,3686,552,0,0,0,8718
13,1706584506.673066139,1706584506.772905827,54,53,0,0.010358336,0.014036904,1,0,1,0,1,0,-0.045348441,0.001631366,0.001387903,0.000801781,0.000398839,0.000679711,0.999999368,1086,847,0.779926335,0.020903301,0.010434690,0.007743154,0.039368668,83.996431464,863,0.945932304,23.418457385,305.099114634,487.822006550,0.028687152,0.027136104,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004400,0.000006753,0.000023786,0.967159237,-0.254162207,0.002140583,0.000000017,0.000000034,0.000001162,0.978234282,-0.207322875,0.008655301,1.000000000,0.029442713,0.087560073,0.342671218,0.003050335,99.929654687,13,0.023420810,0.022280298,175,166,9,0.161141805,33,0,0,0,0,0,0,878,33,2363,3861,585,0,0,0,9596
14,1706584506.772917271,1706584506.872751713,55,54,0,0.014873983,0.019538328,1,0,1,0,1,0,-0.045793707,-0.002202306,0.003228409,0.001193179,0.000485110,0.000628941,0.999998973,1088,863,0.793198529,0.019797732,0.010991611,0.007630025,0.035497277,93.980059577,853,0.945320260,18.083220925,304.705246510,483.569714014,0.022425792,0.021199556,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004266,0.000006517,0.000024719,0.969953821,-0.243053359,0.010707480,0.000000014,0.000000035,0.000001070,0.979446731,-0.201390777,0.011218508,1.000000000,0.029875182,0.100854318,0.346947053,0.003151357,99.504683607,14,0.023349737,0.022203102,145,144,1,0.133272059,27,0,0,0,0,0,0,916,27,2395,4006,612,0,0,0,10512
15,1706584506.872763872,1706584506.972592115,56,55,0,0.011720905,0.019870687,1,0,1,0,1,0,-0.047171998,-0.000000392,0.005238928,0.001761216,0.000550466,0.000482032,0.999998181,1062,862,0.811676083,0.021292698,0.011523835,0.007836352,0.031727496,100.942883050,859,0.949106515,17.578176971,298.178131686,499.526187703,0.021560842,0.020463535,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004059,0.000006272,0.000026273,0.967612179,-0.251551174,0.021182034,0.000000014,0.000000028,0.000001079,0.976212724,-0.216538228,0.010950483,1.000000000,0.029998669,0.103687346,0.350231912,0.003444394,99.600563570,15,0.023230478,0.022087131,155,152,3,0.145951036,28,0,0,0,0,0,0,879,28,2426,4161,640,0,0,0,11391
16,1706584506.972604513,1706584507.072417974,57,56,0,0.013237106,0.026359576,1,0,1,0,1,0,-0.043820191,-0.001274432,0.011019268,0.002295570,0.000602295,0.000611358,0.999996997,1096,869,0.792883212,0.020471432,0.010420051,0.007260730,0.040857952,97.860951166,873,0.946794988,20.838617659,319.098331377,486.615075659,0.025211502,0.023870123,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003762,0.000006008,0.000024037,0.969702130,-0.243643184,0.017770138,0.000000010,0.000000030,0.000001015,0.976671783,-0.214407610,0.011899760,1.000000000,0.030677374,0.108439104,0.357034126,0.003703870,99.491837795,16,0.023354292,0.022198568,140,139,1,0.127737226,34,0,0,0,0,0,0,922,34,2455,4301,674,0,0,0,12313
