frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,stage2_map_policy,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_geometry_weak_ratio,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,persistent_voxel_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_persistent_voxel_quota_rejected,total_voxel_rejected
1,1706584505.472604513,1706584505.572421074,42,41,0,0.009211181,0.012499862,1,0,1,0,0,0,-0.046471458,0.008139063,0.006786744,-0.002148676,0.000942425,0.000232647,0.999997220,1068,771,0.721910112,0.029463920,0.013398337,0.009735886,0.022536926,106.122171255,749,0.957790738,17.456575791,278.384771025,421.543915674,0.024333614,0.023306510,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000009521,0.000016228,0.000096859,0.971223347,-0.238022161,-0.008405984,0.000000000,0.000000068,0.000001313,0.972308979,-0.233557897,-0.008121488,0.000000000,0.022536926,0.000000000,0.000000000,0.000000000,106.122171255,0,0.024333614,0.023306510,1.000000000,703,661,42,0.658239700,0,0,0,0,0,0,0,365,0,1420,703,0,0,0,0,365
2,1706584505.572432756,1706584505.672264338,43,42,0,0.010001731,0.017551761,1,0,1,1,1,0,-0.008620385,-0.000888278,0.005121800,-0.000205477,0.000423689,0.000437524,0.999999793,1088,828,0.761029412,0.022236615,0.011782120,0.008332481,0.018334718,111.725955723,793,0.953707360,12.783412870,295.270697317,448.235826084,0.016902794,0.016120319,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000008690,0.000013095,0.000108582,0.970703102,-0.240251579,0.003829587,0.000000103,0.000000139,0.000001173,0.972410848,-0.233210962,-0.005457963,0.500000000,0.020435822,0.139791678,0.038948282,0.000413631,108.924063489,1,0.020618204,0.019713414,1.000000000,432,417,15,0.397058824,48,0,0,0,0,0,0,608,48,1525,1135,48,0,0,0,973
3,1706584505.673074007,1706584505.772902966,44,43,0,0.010752040,0.015270075,1,0,1,0,1,0,-0.082499973,0.019597338,0.002821587,0.001237239,0.000211732,0.000380915,0.999999140,1120,825,0.736607143,0.023736319,0.011352151,0.008184001,0.021366484,113.279011328,836,0.950096494,19.622951618,301.225192132,473.432525473,0.024705312,0.023472430,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000007005,0.000010911,0.000079885,0.970691922,-0.240224359,0.007031988,0.000000024,0.000000057,0.000001192,0.973454077,-0.228807066,-0.005872453,0.333333333,0.020746043,0.123849661,0.115649944,0.000526152,110.375712769,0,0.021980573,0.020966420,1.000000000,433,417,16,0.386607143,51,0,0,0,0,0,0,636,51,1693,1568,99,0,0,0,1609
4,1706584505.772915125,1706584505.872747898,45,44,0,0.010851499,0.016644961,1,0,1,0,1,0,-0.199411948,0.048969045,-0.005741532,0.000169907,-0.000090361,0.000522038,0.999999845,1089,850,0.780532599,0.025159098,0.012339189,0.008369487,0.022135054,110.512008754,794,0.953203742,15.739298180,297.234600606,443.869872076,0.020795967,0.019822794,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000005687,0.000008562,0.000063034,0.969826551,-0.243528609,-0.011413951,0.000000020,0.000000040,0.000001071,0.974114374,-0.226046766,0.002011326,0.250000000,0.021093295,0.107242832,0.236498750,0.000807844,110.409786765,0,0.021684422,0.020680513,1.000000000,290,274,16,0.266299357,47,0,0,0,0,0,0,752,47,1804,1858,146,0,0,0,2361
5,1706584505.872760773,1706584505.972007751,46,45,0,0.007729339,0.012758232,1,0,1,0,0,0,-0.176778912,0.044535407,-0.007810019,-0.000108691,0.000106752,0.000401260,0.999999908,1065,832,0.781220657,0.023134192,0.010361206,0.007269032,0.024916906,101.196148263,775,0.950069453,15.274123458,281.739640884,439.290061812,0.020744322,0.019708546,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000005371,0.000008461,0.000051134,0.972382567,-0.233282831,0.007159876,0.000000023,0.000000051,0.000001105,0.978423786,-0.206371722,0.009879631,0.200000000,0.021858017,0.102779158,0.259654528,0.001049393,108.567059064,0,0.021496402,0.020486120,1.000000000,276,268,8,0.259154930,0,0,0,0,0,0,0,789,0,1915,2134,146,0,0,0,3150
6,1706584505.972593784,1706584506.070913076,47,46,0,0.013196522,0.019295452,1,0,1,0,0,0,-0.196611109,0.047233313,-0.003384470,0.001477937,0.000206800,0.000468273,0.999998777,1061,827,0.779453346,0.024470851,0.011228558,0.007707956,0.027563381,94.253506055,784,0.946308179,16.446591023,287.450360450,438.008660516,0.022168037,0.020977795,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000005187,0.000007491,0.000041891,0.969762648,-0.241816756,0.032940291,0.000000022,0.000000032,0.000001094,0.973773623,-0.226804289,0.018020719,0.166666667,0.022808911,0.094089967,0.280152826,0.001184053,106.181466896,0,0.021608341,0.020568066,1.000000000,270,262,8,0.254476909,0,0,0,0,0,0,0,791,0,2027,2404,146,0,0,0,3941
7,1706584506.072422743,1706584506.169879913,48,47,0,0.012171430,0.016855576,1,0,1,0,0,0,-0.155176308,0.037017992,0.000536605,0.000653719,0.000288614,0.000361071,0.999999679,1073,850,0.792171482,0.024046521,0.011313842,0.007842232,0.032383979,94.545494481,796,0.954824953,17.471759971,283.491367595,459.077535300,0.022987928,0.021949447,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004852,0.000007034,0.000034415,0.969512615,-0.239777842,0.050516089,0.000000018,0.000000039,0.000000985,0.976402293,-0.215651063,0.011540386,0.142857143,0.024176778,0.087933627,0.323008051,0.001398689,104.519185123,0,0.021805425,0.020765406,1.000000000,259,253,6,0.241379310,0,0,0,0,0,0,0,814,0,2122,2663,146,0,0,0,4755
8,1706584506.173064470,1706584506.272882462,49,48,0,0.013802123,0.019243354,1,0,1,0,0,0,-0.153769947,0.029913068,-0.000119818,0.000658097,0.000141808,0.000672752,0.999999547,1062,834,0.785310734,0.021844840,0.010817563,0.007358538,0.020397832,117.822159589,797,0.945193634,14.952448094,287.025019575,451.341858247,0.019848751,0.018760914,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004737,0.000006759,0.000039009,0.971840278,-0.233649595,0.030566980,0.000000019,0.000000034,0.000001040,0.974972525,-0.221965199,0.012650148,0.125000000,0.023704410,0.091526892,0.330280511,0.002021861,106.182056931,0,0.021560841,0.020514844,1.000000000,234,227,7,0.220338983,0,0,0,0,0,0,0,828,0,2201,2897,146,0,0,0,5583
9,1706584506.272894382,1706584506.372726202,50,49,0,0.011821941,0.019182320,1,0,1,0,0,0,-0.148527673,0.026455844,0.004248457,-0.000975801,0.000619906,0.000565745,0.999999172,1088,848,0.779411765,0.023473148,0.011349125,0.007977384,0.038243033,89.541705855,849,0.943536508,18.666364024,302.302532170,480.093598829,0.023302007,0.021986294,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004435,0.000006242,0.000030098,0.966559781,-0.253328662,0.039834388,0.000000016,0.000000029,0.000001071,0.975620813,-0.218429993,0.021268925,0.111111111,0.025319812,0.087209465,0.337930064,0.002237270,104.333129034,0,0.021754304,0.020678339,1.000000000,235,230,5,0.215992647,0,0,0,0,0,0,0,853,0,2271,3132,146,0,0,0,6436
10,1706584506.372737408,1706584506.472570419,51,50,0,0.011162687,0.021739945,1,0,1,0,0,0,-0.129519052,0.029679144,0.008158369,-0.000253405,0.000647630,0.000290598,0.999999716,1059,825,0.779036827,0.021693749,0.011027020,0.008020017,0.031265951,93.045434004,820,0.946566532,17.428117632,295.232013816,463.524424589,0.022453574,0.021253802,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004780,0.000006678,0.000029668,0.970574797,-0.240083759,0.018556728,0.000000019,0.000000038,0.000001095,0.978227936,-0.207383310,0.007890996,0.100000000,0.025914426,0.089189132,0.357602500,0.002786684,103.204359531,0,0.021824231,0.020735885,1.000000000,219,209,10,0.206798867,0,0,0,0,0,0,0,840,0,2350,3351,146,0,0,0,7276
