frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,stage2_map_policy,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_geometry_weak_ratio,relative_persistent_enable,relative_baseline_ready,relative_persistent_candidate,relative_f0_baseline,relative_lambda0_baseline,relative_f0_ratio,relative_lambda0_ratio,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,persistent_voxel_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_persistent_voxel_quota_rejected,total_voxel_rejected
1,1706584505.472604513,1706584505.572421074,42,41,0,0.009211181,0.012499862,1,1,1,0,0,0,-0.046471458,0.008139063,0.006786744,-0.002148676,0.000942425,0.000232647,0.999997220,1068,771,0.721910112,0.029463920,0.013398337,0.009735886,0.022536926,106.122171255,749,0.957790738,17.456575791,278.384771025,421.543915674,0.024333614,0.023306510,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000009521,0.000016228,0.000096859,0.971223347,-0.238022161,-0.008405984,0.000000000,0.000000068,0.000001313,0.972308979,-0.233557897,-0.008121488,0.000000000,0.022536926,0.000000000,0.000000000,0.000000000,106.122171255,0,0.024333614,0.023306510,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,625,585,40,0.585205993,78,0,0,0,0,0,0,365,78,1378,625,78,0,0,0,365
2,1706584505.572432756,1706584505.672264338,43,42,0,0.010001731,0.017551761,1,1,1,1,1,0,-0.019317810,0.000730568,0.002617626,0.000708775,0.000289663,0.000468775,0.999999597,1088,834,0.766544118,0.022145933,0.011948826,0.007961103,0.017510503,114.767413436,782,0.952249987,13.848330658,290.458512571,440.352646471,0.018596863,0.017708863,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000008625,0.000012832,0.000111997,0.969258847,-0.245813366,0.010633760,0.000000088,0.000000121,0.000001134,0.974247757,-0.225448292,-0.003791560,0.500000000,0.020023715,0.141794375,0.028453259,0.000476716,110.444792345,1,0.021465238,0.020507686,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,288,278,10,0.264705882,57,138,23,0,0,20,0,582,218,1430,913,273,23,0,0,947
3,1706584505.673074007,1706584505.772902966,44,43,0,0.010752040,0.015270075,1,1,1,1,1,0,-0.006134849,-0.012350818,-0.001804372,0.001261981,0.000081377,0.000742270,0.999998925,1122,814,0.725490196,0.024607719,0.012416727,0.008454240,0.019234968,120.346763535,822,0.945743441,19.531570836,295.896108386,461.973428964,0.025124187,0.023761035,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000007084,0.000011977,0.000089413,0.970776790,-0.239937980,-0.004710651,0.000000024,0.000000075,0.000001189,0.974884395,-0.222602271,-0.006974616,0.666666667,0.019760799,0.119672989,0.047544283,0.001023500,113.745449408,2,0.022684888,0.021592136,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,257,250,7,0.229055258,55,154,26,0,0,34,0,630,235,1504,1170,482,49,0,0,1577
4,1706584505.772915125,1706584505.872747898,45,44,0,0.010851499,0.016644961,1,1,1,1,1,0,-0.002112751,-0.016413804,-0.008464814,-0.000298770,0.000028196,0.000640522,0.999999750,1093,835,0.763952425,0.024666874,0.010497506,0.007350155,0.017627368,124.308777943,816,0.953771046,16.968944135,297.888755540,463.419473691,0.021803214,0.020795275,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000005632,0.000009071,0.000077470,0.969364829,-0.245400755,0.010502226,0.000000019,0.000000047,0.000001100,0.974831860,-0.222936360,0.001491346,0.750000000,0.019227441,0.105167120,0.056321902,0.001227217,116.386281542,3,0.022464470,0.021392921,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,210,204,6,0.192131747,71,141,8,0,0,14,0,663,220,1562,1380,694,57,0,0,2240
5,1706584505.872760773,1706584505.972007751,46,45,0,0.007729339,0.012758232,1,1,1,0,0,0,0.007533226,-0.016134370,-0.004906790,0.001712358,0.000049502,0.000873312,0.999998151,1069,830,0.776426567,0.024914560,0.012046204,0.007927169,0.026867293,96.331638133,804,0.957543137,18.007408088,295.201365205,456.655908989,0.023390355,0.022397274,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000005545,0.000008566,0.000052100,0.971141791,-0.238334674,0.008955748,0.000000023,0.000000055,0.000001079,0.979343453,-0.202048817,0.007916799,0.600000000,0.020755412,0.094419417,0.066606964,0.001692981,112.375352860,0,0.022649647,0.021593791,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,306,288,18,0.286248831,65,0,0,0,0,0,0,698,65,1690,1686,759,57,0,0,2938
6,1706584505.972593784,1706584506.070913076,47,46,0,0.013196522,0.019295452,1,1,1,0,0,0,-0.024900639,-0.001351759,-0.001775642,0.001855216,0.000260412,0.000460466,0.999998139,1054,819,0.777039848,0.025393777,0.011014550,0.007584850,0.028882443,96.090370442,812,0.952767358,20.241851385,289.374191939,464.031051570,0.026164192,0.024928388,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004965,0.000007699,0.000040926,0.970705000,-0.239297931,0.021640327,0.000000019,0.000000039,0.000001202,0.975628688,-0.219221698,0.009513712,0.500000000,0.022109917,0.086128897,0.102388039,0.002517875,109.661189124,0,0.023235404,0.022149557,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,300,293,7,0.284629981,70,0,0,0,0,0,0,684,70,1790,1986,829,57,0,0,3622
7,1706584506.072422743,1706584506.169879913,48,47,0,0.012171430,0.016855576,1,1,1,0,0,0,0.008035206,-0.004497229,0.000796400,0.001230408,0.000312072,0.000293895,0.999999151,1072,839,0.782649254,0.022704158,0.011370587,0.007996081,0.031335300,98.942936168,828,0.954275870,20.099609217,296.114098547,473.926712608,0.025438022,0.024274890,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004817,0.000007091,0.000035354,0.972459866,-0.226629197,0.054415212,0.000000018,0.000000039,0.000001070,0.977749987,-0.209506857,0.010575473,0.428571429,0.023427829,0.088186993,0.135573567,0.002851213,108.130010130,0,0.023550064,0.022453176,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,278,271,7,0.259328358,51,0,0,0,0,0,0,743,51,1873,2264,880,57,0,0,4365
8,1706584506.173064470,1706584506.272882462,49,48,0,0.013802123,0.019243354,1,1,1,0,0,0,-0.016291603,0.003346201,0.000172639,0.002174905,0.000004431,0.000418667,0.999997547,1061,847,0.798303487,0.023289500,0.011752516,0.007787578,0.024917730,102.021652148,804,0.953521896,16.477476113,294.235481152,455.918646946,0.021493343,0.020494373,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004825,0.000006616,0.000035919,0.971690793,-0.233569459,0.035528999,0.000000020,0.000000032,0.000001049,0.975629528,-0.219232945,0.009161888,0.375000000,0.023614066,0.085712212,0.161141167,0.003100006,107.366465383,0,0.023292974,0.022208326,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,238,229,9,0.224316682,57,0,0,0,0,0,0,766,57,1940,2502,937,57,0,0,5131
9,1706584506.272894382,1706584506.372726202,50,49,0,0.011821941,0.019182320,1,1,1,0,0,0,-0.021403059,-0.000329060,-0.003870310,0.001109388,0.000044500,0.000542760,0.999999236,1088,860,0.790441176,0.025476352,0.011990250,0.008526466,0.035718578,93.974621829,850,0.950404518,20.041170680,305.705343114,482.097326636,0.024808224,0.023577848,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004471,0.000006268,0.000030601,0.970805503,-0.234367621,0.051073421,0.000000015,0.000000030,0.000001117,0.976805361,-0.213775658,0.012298555,0.333333333,0.024959012,0.081193931,0.168623143,0.003348273,105.878482765,0,0.023461335,0.022360495,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,251,250,1,0.230698529,59,0,0,0,0,0,0,778,59,2013,2753,996,57,0,0,5909
10,1706584506.372737408,1706584506.472570419,51,50,0,0.011162687,0.021739945,1,1,1,0,0,0,-0.040155342,0.004307720,-0.000088324,0.001826084,0.000153756,0.000696320,0.999998078,1062,844,0.794726930,0.024600446,0.011720999,0.008369551,0.029822990,99.774708918,840,0.950862597,21.702809300,305.638500014,471.383272318,0.027171831,0.025836678,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004587,0.000006559,0.000030574,0.968264135,-0.244785828,0.050442677,0.000000016,0.000000037,0.000001091,0.977340281,-0.211655336,0.002827404,0.300000000,0.025445410,0.077089576,0.188306924,0.003655855,105.268105381,0,0.023832384,0.022708113,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,231,222,9,0.217514124,55,0,0,0,0,0,0,776,55,2076,2984,1051,57,0,0,6685
