frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,stage2_map_policy,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_geometry_weak_ratio,relative_persistent_enable,relative_baseline_ready,relative_persistent_candidate,relative_f0_baseline,relative_lambda0_baseline,relative_f0_ratio,relative_lambda0_ratio,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,persistent_voxel_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_persistent_voxel_quota_rejected,total_voxel_rejected
1,1517157221.206058979,1517157221.306898355,21,20,0,0.008682659,0.014971945,1,1,1,0,0,0,0.011795077,-0.025138236,-0.005493179,-0.000433046,-0.000589328,0.004795062,0.999988236,783,635,0.810983397,0.037650720,0.019150440,0.015671395,0.564657410,32.196486167,415,0.947769642,82.270981606,116.440854694,194.612565265,0.209168262,0.198243329,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004088,0.000006072,0.000007580,-0.112216209,0.400074665,-0.909586601,0.000000000,0.000000000,0.000003538,0.930065436,0.364656658,-0.044763904,0.000000000,0.564657410,0.000000000,0.000000000,0.000000000,32.196486167,0,0.209168262,0.198243329,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,345,344,1,0.440613027,57,0,0,0,0,0,0,377,61,863,345,57,0,0,0,377
2,1517157221.306919098,1517157221.407758236,22,21,0,0.003517330,0.008714526,1,1,1,0,0,0,0.015604584,-0.027165659,-0.001792338,-0.001046607,-0.000663826,0.004394308,0.999989577,778,637,0.818766067,0.033058114,0.012968568,0.010531629,0.557055020,33.333836519,432,0.950996410,86.416428370,119.898065139,204.515955534,0.210345724,0.200038029,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004053,0.000006241,0.000007294,-0.115055268,0.446850702,-0.887179089,0.000000000,0.000000244,0.000003164,0.928904033,0.356852044,-0.098964217,0.000000000,0.560856215,0.064950953,0.005684981,0.000800640,32.765161343,0,0.209756993,0.199140679,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,155,153,2,0.199228792,61,0,0,0,0,0,0,558,65,891,500,118,0,0,0,935
3,1517157221.407778978,1517157221.508618355,23,22,0,0.087530612,0.361302370,1,1,1,0,0,0,0.018580858,-0.032198350,0.010453208,0.002304684,-0.003587880,0.005538910,0.999975568,772,604,0.782383420,0.034864204,0.015589510,0.011865805,0.558366656,26.843858516,442,0.947155286,91.820892395,118.863245758,207.958498088,0.219330007,0.207739576,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003644,0.000005152,0.000007314,0.174324911,-0.346368021,0.921759198,0.000000016,0.000000029,0.000003379,0.934868086,0.352634139,-0.040875746,0.000000000,0.560026362,0.053681632,0.019254785,0.003072128,30.791393734,0,0.212947998,0.202006978,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,233,223,10,0.301813472,61,0,0,0,0,0,0,474,65,966,733,179,0,0,0,1409
4,1517157221.508639097,1517157221.609478235,24,23,0,0.301454163,0.368724600,1,1,1,0,0,0,0.024747290,-0.027512280,-0.030522013,0.008223247,-0.019006414,0.010338319,0.999732091,761,576,0.756898817,0.052277618,0.027706675,0.021438839,0.585562088,27.874912703,432,0.930480115,82.206247734,124.127961877,195.633200066,0.204509733,0.190292240,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003230,0.000004555,0.000006574,0.200741058,-0.365595934,0.908868880,0.000000015,0.000000030,0.000003006,0.936321757,0.341815911,-0.080395589,0.000000000,0.566410294,0.192015372,0.060955539,0.012385372,30.062273476,0,0.210838432,0.199078293,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,224,210,14,0.294349540,58,0,0,0,0,0,0,475,62,1074,957,237,0,0,0,1884
5,1517157221.609498978,1517157221.710338354,25,24,0,0.154462938,0.225674091,1,1,1,0,0,0,0.051092897,-0.027134461,-0.034112804,0.009415985,-0.011079077,0.013631195,0.999801372,755,579,0.766887417,0.036433283,0.019033388,0.013902788,0.524169873,23.967130428,441,0.936672700,81.496278218,130.276399382,201.299983242,0.197292840,0.184798817,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002904,0.000004421,0.000005980,-0.168999566,0.362669804,-0.916465908,0.000000021,0.000000028,0.000002894,0.939365815,0.338229054,-0.056506402,0.000000000,0.557962209,0.177187574,0.087547409,0.019069034,28.843244866,0,0.208129313,0.196222398,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,208,188,20,0.275496689,48,0,0,0,0,0,0,499,48,1164,1165,285,0,0,0,2383
6,1517157221.710359097,1517157221.811198235,26,25,0,0.131595970,0.163240227,1,1,1,0,0,0,0.075956911,-0.022592224,-0.045589085,0.010624547,-0.008714295,0.014165605,0.999805239,773,570,0.737386805,0.059137522,0.032879941,0.024087420,0.536039633,22.893920648,469,0.929345511,96.347494826,130.102171094,209.413378786,0.221049928,0.205431759,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002797,0.000004160,0.000005745,-0.121236174,0.379165255,-0.917352440,0.000000023,0.000000039,0.000002623,0.942507037,0.329912057,-0.053277751,0.000000000,0.554308447,0.232733907,0.115306303,0.020159265,27.851690830,0,0.210282749,0.197757291,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,197,179,18,0.254851229,61,0,0,0,0,0,0,515,61,1259,1362,346,0,0,0,2898
7,1517157221.811218977,1517157221.912058353,27,26,0,0.101703699,0.116544086,1,1,1,0,0,0,0.081469306,-0.022747639,-0.041258759,0.009577946,-0.000580690,0.014057325,0.999855148,790,573,0.725316456,0.048089277,0.023798908,0.016628362,0.530892843,23.598634036,479,0.923258841,90.703382902,133.110541533,218.427060338,0.205099450,0.189359881,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002818,0.000004236,0.000005263,-0.204758580,0.337819689,-0.918668483,0.000000020,0.000000076,0.000002829,0.941869411,0.333662252,-0.039389259,0.000000000,0.550963360,0.216570774,0.122317891,0.020204745,27.244111288,0,0.209542278,0.196557661,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,204,192,12,0.258227848,58,0,0,0,0,0,0,524,62,1360,1566,404,0,0,0,3422
8,1517157221.912080050,1517157222.012864351,28,27,0,0.023713122,0.040783371,1,1,1,0,0,0,0.078436578,-0.026214633,-0.038922763,0.008087220,-0.001871219,0.012911998,0.999882181,792,581,0.733585859,0.037052915,0.018268837,0.011874196,0.544532735,24.258693468,488,0.924293170,93.176524316,141.802754615,216.075787923,0.206574610,0.190935501,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002760,0.000004237,0.000005174,-0.206380217,0.371473082,-0.905215419,0.000000019,0.000000040,0.000002634,0.940168581,0.337879660,-0.043822079,0.000000000,0.550159532,0.211484451,0.127482614,0.022514178,26.870934061,0,0.209171319,0.195854891,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,178,175,3,0.224747475,45,0,0,0,0,0,0,563,51,1424,1744,449,0,0,0,3985
9,1517157222.012886047,1517157222.113724232,29,28,0,0.018180021,0.024778905,1,1,1,0,0,0,0.071307256,-0.026624032,-0.031771780,0.007435876,-0.002444637,0.013114547,0.999883363,776,579,0.746134021,0.027320332,0.016662739,0.011905121,0.534676806,20.771882181,491,0.917319831,90.862981456,141.627393196,217.913662392,0.201736605,0.185056989,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002726,0.000004249,0.000004999,-0.264418337,0.356306783,-0.896174324,0.000000024,0.000000024,0.000002436,0.941888012,0.333606615,-0.039415711,0.000000000,0.548439229,0.237757712,0.137588621,0.022913441,26.193261629,0,0.208345240,0.194655124,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,137,131,6,0.176546392,27,0,0,0,0,0,0,608,31,1482,1881,476,0,0,0,4593
10,1517157222.113745928,1517157222.214585304,30,29,0,0.015789873,0.019513741,1,1,1,0,0,0,0.064855265,-0.024652724,-0.031650228,0.009367860,-0.002749535,0.012332412,0.999876290,785,597,0.760509554,0.032988914,0.017776058,0.012774510,0.539748272,22.216464980,493,0.920721113,93.547656394,140.521817475,219.846035013,0.206090461,0.189751839,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002651,0.000004126,0.000004829,-0.301579327,0.353721041,-0.885398969,0.000000020,0.000000023,0.000002446,0.940270291,0.338258428,-0.038379884,0.000000000,0.547570134,0.237009139,0.144336141,0.024493307,25.795581964,0,0.208119762,0.194164796,0.000000000,1,0,0,0.000000000,0.000000000,1.000000000,1.000000000,105,101,4,0.133757962,26,0,0,0,0,0,0,648,32,1525,1986,502,0,0,0,5241
