time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1632435410.707834959,55,17,0.165691895,88.108453868,0.300000000,nan,nan,0,0,5837,889,fitness_reject
1632435412.422478914,56,16,0.133671755,107.682820417,0.300000000,nan,nan,0,0,6750,839,fitness_reject
1632435416.053484917,59,15,0.082593670,74.315800927,0.300000000,nan,nan,0,0,7712,838,fitness_reject
1632435432.392988920,76,42,0.120033414,0.158730606,0.300000000,0.403100680,0.011731987,0,1,3418,719,accepted
1632435433.300740957,77,42,0.126780899,nan,nan,nan,nan,0,0,0,693,current_cooldown_reject
1632435457.809995890,93,55,0.162005888,nan,nan,nan,nan,0,0,0,632,candidate_cooldown_reject
1632435459.625499249,94,53,0.101608924,nan,nan,nan,nan,0,0,0,684,candidate_cooldown_reject
1632435467.391810894,97,61,0.177150383,nan,nan,nan,nan,0,0,0,902,candidate_cooldown_reject
1632435485.748538017,106,62,0.155636179,nan,nan,nan,nan,0,0,2376,639,icp_not_converged
1632435495.027771950,110,50,0.155447723,nan,nan,nan,nan,0,0,0,681,candidate_cooldown_reject
1632435497.145853996,112,45,0.094623704,nan,nan,nan,nan,0,0,0,719,candidate_cooldown_reject
1632435501.482880116,114,50,0.144226621,nan,nan,nan,nan,0,0,0,786,candidate_cooldown_reject
1632435508.341439009,117,48,0.162844343,nan,nan,nan,nan,0,0,0,831,candidate_cooldown_reject
1632435510.358661890,120,52,0.171731785,nan,nan,nan,nan,0,0,0,907,candidate_cooldown_reject
1632435511.568993092,123,52,0.171308826,nan,nan,nan,nan,0,0,0,940,candidate_cooldown_reject
1632435725.898910046,135,44,0.156723124,nan,nan,nan,nan,0,0,0,757,candidate_cooldown_reject
1632435734.774689674,138,53,0.164477863,nan,nan,nan,nan,0,0,0,685,candidate_cooldown_reject
1632435739.716886044,142,111,0.090882372,0.040373419,0.300000000,0.045362260,0.036731381,0,1,2164,807,accepted
1632435742.843580008,143,93,0.159515039,nan,nan,nan,nan,0,0,0,681,current_cooldown_reject
1632435752.122811794,147,105,0.179474239,nan,nan,nan,nan,0,0,0,617,current_cooldown_reject
1632435755.350364923,149,99,0.108268561,nan,nan,nan,nan,0,0,0,731,current_cooldown_reject
1632435756.964137077,150,100,0.037859714,nan,nan,nan,nan,0,0,0,844,current_cooldown_reject
1632435765.033036947,155,97,0.114912543,nan,nan,nan,nan,0,0,0,904,candidate_cooldown_reject
1632435766.041646957,156,94,0.166968311,nan,nan,nan,nan,0,0,0,787,candidate_cooldown_reject
1632435771.387283087,159,53,0.161911130,nan,nan,nan,nan,0,0,0,655,candidate_cooldown_reject
1632435773.707084894,160,63,0.169370221,8.702388594,0.300000000,nan,nan,0,0,2400,652,fitness_reject
1632435778.346700907,163,90,0.081599754,nan,nan,nan,nan,0,0,0,731,loop_pair_cooldown_reject
1632435783.188035727,164,90,0.146267395,nan,nan,nan,nan,0,0,0,697,loop_pair_cooldown_reject
1632435787.726779938,166,84,0.171212438,nan,nan,nan,nan,0,0,0,329,loop_pair_cooldown_reject
1632435788.937112093,167,84,0.132822067,nan,nan,nan,nan,0,0,0,367,loop_pair_cooldown_reject
1632435796.400840998,172,90,0.159663663,0.109433149,0.300000000,0.138949662,0.014975824,0,1,2522,828,accepted
1632435800.233565092,174,57,0.155559902,nan,nan,nan,nan,0,0,0,769,candidate_cooldown_reject
1632435801.343035936,175,57,0.083999442,nan,nan,nan,nan,0,0,0,764,candidate_cooldown_reject
1632435802.755086899,176,56,0.070369003,nan,nan,nan,nan,0,0,0,824,candidate_cooldown_reject
1632435803.662837982,177,59,0.056057824,nan,nan,nan,nan,0,0,0,880,candidate_cooldown_reject
1632435805.680061102,179,72,0.107396071,nan,nan,nan,nan,0,0,0,1269,current_cooldown_reject
1632435825.650563002,189,56,0.179994049,nan,nan,nan,nan,0,0,0,434,candidate_cooldown_reject
1632435839.468537092,193,56,0.090330382,nan,nan,nan,nan,0,0,0,549,candidate_cooldown_reject
1632435846.024514914,195,60,0.111175783,nan,nan,nan,nan,0,0,0,550,candidate_cooldown_reject
1632435847.840006113,196,60,0.145352175,nan,nan,nan,nan,0,0,0,568,candidate_cooldown_reject
1632435849.655508995,197,59,0.108117212,nan,nan,nan,nan,0,0,0,545,candidate_cooldown_reject
1632436044.620043993,279,208,0.176133527,1.863923625,0.300000000,nan,nan,0,0,2613,487,fitness_reject
1632436064.590544939,286,50,0.169724165,nan,nan,nan,nan,0,0,0,517,candidate_cooldown_reject
1632436065.901735067,287,50,0.175143618,nan,nan,nan,nan,0,0,0,531,candidate_cooldown_reject
1632436124.300324917,303,269,0.136907100,0.044724927,0.300000000,0.049301917,0.048014411,0,1,2751,1171,accepted
1632436125.712376118,304,269,0.124655938,nan,nan,nan,nan,0,0,0,1224,current_cooldown_reject
1632436127.628738165,306,269,0.150625076,nan,nan,nan,nan,0,0,0,1198,current_cooldown_reject
1632436128.032188892,307,269,0.160064195,nan,nan,nan,nan,0,0,0,1153,current_cooldown_reject
1632436128.435628891,308,269,0.087722032,nan,nan,nan,nan,0,0,0,1199,current_cooldown_reject
1632436128.839067936,309,269,0.087856416,nan,nan,nan,nan,0,0,0,1278,current_cooldown_reject
1632436134.083854914,310,266,0.169343534,nan,nan,nan,nan,0,0,0,965,current_cooldown_reject
