frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1632435296.331264973,1632435296.432104349,1,0,0,0,-0.001185452,-0.000624087,-0.000260914,-0.000038054,0.000016800,0.000043067,0.999999998,2666,2199,0.824831208,0.018067779,0.008459200,0.007508605,0.743119435,49.221800854,0.000000000,0.743119435,0.000000000,0.000000000,0.000000000,49.221800854,0,1188,1187,1,0.445611403,203,0,0,0,0,1275,203,2807,1188,203,0,1275
2,1632435296.432125092,1632435296.532964230,1,0,0,0,-0.000849455,-0.001425691,-0.002375840,-0.000075159,0.000002093,0.000018295,0.999999997,2675,2250,0.841121495,0.018137392,0.008519633,0.007548814,0.759501856,48.309727376,0.000000000,0.751310646,0.001922729,0.002286563,0.000049544,48.765764115,0,850,849,1,0.317757009,184,0,0,0,0,1641,184,2864,2038,387,0,2916
3,1632435296.532984972,1632435296.633824348,1,0,0,0,-0.000926829,-0.000952815,-0.002659291,-0.000029184,-0.000012104,-0.000037292,0.999999999,2688,2252,0.837797619,0.017596331,0.007714918,0.006809932,0.757400637,49.368766471,0.000000000,0.753340643,0.013401310,0.002843289,0.000160717,48.966764900,0,608,607,1,0.226190476,175,0,0,0,0,1905,175,2901,2646,562,0,4821
4,1632435296.633845091,1632435296.734684229,1,0,0,0,-0.001157914,-0.001107631,-0.003548077,-0.000026776,-0.000040429,-0.000033447,0.999999998,2663,2235,0.839279009,0.018945911,0.008541642,0.007486327,0.755402355,49.783241192,0.000000000,0.753856071,0.026676269,0.003774583,0.000168408,49.170883973,0,678,675,3,0.254600075,191,0,0,0,0,1794,191,2965,3324,753,0,6615
5,1632435296.734704971,1632435296.835544348,1,0,0,0,-0.001540689,-0.001121464,-0.003647887,-0.000055924,-0.000010374,0.000030111,0.999999998,2682,2268,0.845637584,0.019176550,0.008365274,0.007406737,0.762534296,50.226985683,0.000000000,0.755591716,0.031949554,0.004170398,0.000295524,49.382104315,0,523,523,0,0.195003729,173,0,0,0,0,1986,173,3015,3847,926,0,8601
6,1632435296.835565090,1632435296.936404228,1,0,0,0,-0.001743295,-0.000713795,-0.002674380,-0.000037015,0.000001804,-0.000022599,0.999999999,2697,2289,0.848720801,0.018654595,0.008174070,0.007233171,0.740643556,49.948513668,0.000000000,0.753100356,0.029601774,0.005245088,0.000400946,49.476505874,0,390,389,1,0.144605117,177,0,0,0,0,2130,177,3033,4237,1103,0,10731
7,1632435296.936424971,1632435297.037276268,1,0,0,0,-0.001263116,-0.001062663,-0.002001207,-0.000039161,0.000038330,-0.000059199,0.999999997,2685,2268,0.844692737,0.019224407,0.008192577,0.007332761,0.739369636,50.589014526,0.000000000,0.751138825,0.031093182,0.006142553,0.000474149,49.635435681,0,355,355,0,0.132216015,172,0,0,0,0,2158,172,3053,4592,1275,0,12889
8,1632435297.037297010,1632435297.138136387,1,0,0,0,0.000307812,-0.001531411,-0.001183316,-0.000055617,0.000026312,-0.000067327,0.999999996,2696,2283,0.846810089,0.018253786,0.008087661,0.007131419,0.725637766,50.814173768,0.000000000,0.747951192,0.029597487,0.007974624,0.000490406,49.782777942,0,366,366,0,0.135756677,149,0,0,0,0,2181,149,3088,4958,1424,0,15070
9,1632435297.138156891,1632435297.238996267,1,0,0,0,0.001582503,-0.001563028,0.000609395,0.000004236,0.000049560,-0.000012512,0.999999999,2695,2282,0.846753247,0.017655674,0.007817304,0.006985009,0.713730779,51.434927295,0.000000000,0.744148924,0.031589336,0.010174545,0.000600041,49.966350093,0,283,283,0,0.105009276,131,0,0,0,0,2280,132,3103,5241,1555,0,17350
10,1632435297.239017010,1632435297.339856386,1,0,0,0,0.001726893,-0.002684233,0.001733856,0.000009705,0.000061652,0.000068315,0.999999996,2721,2300,0.845277472,0.018176288,0.008021602,0.007126763,0.706242754,51.045545982,0.000000000,0.740358307,0.030253190,0.011769023,0.000761695,50.074269681,0,281,281,0,0.103270856,162,0,0,0,0,2277,163,3118,5522,1717,0,19627
