frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,localizability_reference_ready,localizability_f0_reference,localizability_lambda0_reference,localizability_f0_ratio,localizability_lambda0_ratio,directional_degenerate,sparse_degenerate,match_quality_degenerate,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_localizability_f0_ratio_mean,window_localizability_lambda0_ratio_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1517157221.206058979,1517157221.306898355,22,21,0.008682659,0.014971945,1,1,0,0,0,0.011795077,-0.025138236,-0.005493179,-0.000433046,-0.000589328,0.004795062,0.999988236,783,635,0.810983397,0.037650720,0.019150440,0.015671395,0.564657410,32.196486167,415,0.947769642,82.270981606,116.440854694,194.612565265,0.209168262,0.198243329,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004088,0.000006072,0.000007580,-0.112216209,0.400074665,-0.909586601,0.000000000,0.000000000,0.000003538,0.930065436,0.364656658,-0.044763904,0.000000000,0.564657410,0.000000000,0.000000000,0.000000000,32.196486167,0,0.209168262,0.198243329,1.000000000,1.000000000,406,405,1,0.518518519,0,0,0,0,0,377,0,888,406,0,0,377
2,1517157221.306919098,1517157221.407758236,23,22,0.003517330,0.008714526,1,1,0,0,0,0.011737017,-0.016581956,-0.004090591,0.000944165,-0.000030144,0.005274009,0.999985646,778,601,0.772493573,0.021787709,0.010838553,0.007897069,0.659818485,28.657870888,439,0.942063828,92.229496993,120.370243422,200.966279897,0.223010336,0.210089970,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004614,0.000006048,0.000007923,-0.113864609,0.557972223,-0.822010857,0.000000000,0.000000090,0.000003942,0.933352706,0.356195867,-0.044466068,0.000000000,0.612237948,0.266881403,0.008670672,0.000957331,30.427178528,0,0.216089299,0.204166650,1.000000000,1.000000000,188,187,1,0.241645244,0,0,0,0,0,590,0,919,594,0,0,967
3,1517157221.407778978,1517157221.508618355,23,23,0.087530612,0.361302370,1,1,0,0,0,0.012811407,-0.012474802,0.005980919,0.003247010,-0.003352357,0.006707758,0.999966612,772,573,0.742227979,0.026956796,0.013905998,0.009759627,0.624818183,26.781949522,433,0.941541178,87.182039094,116.545064388,203.960226592,0.213845348,0.201344201,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004328,0.000005140,0.000007645,0.180866052,-0.431188077,0.883948140,0.000000018,0.000000040,0.000003922,0.935034211,0.351597685,-0.045717522,0.000000000,0.616431359,0.229376425,0.019600372,0.003803328,29.212102192,0,0.215341315,0.203225834,1.000000000,1.000000000,272,261,11,0.352331606,0,0,0,0,0,500,0,1021,866,0,0,1467
4,1517157221.609498978,1517157221.710338354,25,24,0.229751126,0.368724600,1,1,0,0,0,0.050928874,-0.012990379,-0.002909935,0.008451510,-0.011695300,0.014934442,0.999784354,758,560,0.738786280,0.055334426,0.034302918,0.025152878,0.587655826,23.816692223,431,0.929398677,86.875949824,115.663453674,198.031426423,0.216880370,0.201568329,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004253,0.000005587,0.000008438,0.198376103,-0.336249349,0.920642872,0.000000021,0.000000038,0.000003388,0.936761230,0.344523537,-0.061497397,0.000000000,0.609237476,0.362259875,0.058744393,0.020086730,27.863249700,0,0.215726079,0.202811457,1.000000000,1.000000000,276,255,21,0.364116095,0,0,0,0,0,482,0,1151,1142,0,0,1949
5,1517157221.710359097,1517157221.811198235,26,25,0.131595970,0.163240227,1,1,0,0,0,0.077028677,-0.005426228,-0.040601365,0.012811317,-0.008735426,0.015194687,0.999764314,774,566,0.731266150,0.043176351,0.022562582,0.016228771,0.563592498,20.981844727,452,0.926124743,87.744662827,126.544999272,204.318721729,0.209610381,0.194125360,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003214,0.000004130,0.000006249,0.190533026,-0.355385609,0.915094659,0.000000028,0.000000034,0.000002828,0.942237720,0.330379600,-0.055112604,0.000000000,0.600108480,0.321546413,0.105210079,0.020577095,26.486968705,0,0.214502939,0.201074238,1.000000000,1.000000000,278,249,29,0.359173127,0,0,0,0,0,496,0,1287,1420,0,0,2445
6,1517157221.811218977,1517157221.912058353,27,26,0.101703699,0.116544086,1,1,0,0,0,0.080364336,-0.003692158,-0.053183021,0.012910659,-0.002043099,0.014489391,0.999809581,789,569,0.721166033,0.047627114,0.026122098,0.017512766,0.566195410,25.317662838,481,0.922755410,90.629419154,127.138419756,226.077513233,0.204191435,0.188418751,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003013,0.000004041,0.000005434,0.214803824,-0.376964432,0.900975657,0.000000017,0.000000072,0.000003030,0.941474292,0.334075482,-0.044941408,0.000000000,0.594456302,0.298213969,0.118341404,0.021820037,26.292084394,0,0.212784355,0.198964990,1.000000000,1.000000000,260,230,30,0.329531052,0,0,0,0,0,529,0,1418,1680,0,0,2974
7,1517157221.912080050,1517157222.012864351,28,27,0.023713122,0.040783371,1,1,0,0,0,0.074844822,-0.011145573,-0.049126863,0.012020804,-0.002432787,0.013742099,0.999830354,794,555,0.698992443,0.034060680,0.017706243,0.011211113,0.591076259,22.158200973,486,0.917825699,93.680241155,134.573015955,217.810032766,0.210015581,0.192757698,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003089,0.000004181,0.000005341,-0.146450374,0.472294096,-0.869189608,0.000000025,0.000000035,0.000002997,0.940876963,0.335344579,-0.047901506,0.000000000,0.593973439,0.284246827,0.128464192,0.023320011,25.701529620,0,0.212388816,0.198078234,1.000000000,1.000000000,209,204,5,0.263224181,0,0,0,0,0,585,0,1512,1889,0,0,3559
8,1517157222.012886047,1517157222.113724232,29,28,0.018180021,0.024778905,1,1,0,0,0,0.068076896,-0.013116746,-0.048067802,0.011790781,-0.002681195,0.014078298,0.999827780,776,560,0.721649485,0.027423996,0.018006793,0.012811005,0.629592193,22.482754882,499,0.922890553,95.633456483,141.057834716,223.831094575,0.207662992,0.191650213,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003031,0.000004084,0.000005356,-0.139339807,0.456792618,-0.878592580,0.000000023,0.000000032,0.000002901,0.941518878,0.334720514,-0.038786345,0.000000000,0.598425783,0.291752558,0.135592443,0.023987826,25.299182777,0,0.211798088,0.197274732,1.000000000,1.000000000,141,133,8,0.181701031,0,0,0,0,0,635,0,1565,2030,0,0,4194
9,1517157222.113745928,1517157222.214585304,30,29,0.015789873,0.019513741,1,1,0,0,0,0.063659816,-0.012794957,-0.051824935,0.012647714,-0.003290654,0.013528347,0.999823080,791,574,0.725663717,0.033471600,0.019064858,0.012462303,0.604843133,20.500950038,506,0.923558391,93.998664557,145.624834877,227.697046550,0.201143873,0.185768112,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002979,0.000004011,0.000005219,-0.174680797,0.443269842,-0.879203314,0.000000026,0.000000030,0.000002844,0.939472024,0.339576951,-0.045604936,0.000000000,0.599138822,0.279263506,0.141400213,0.025107910,24.766045806,0,0.210614286,0.195996218,1.000000000,1.000000000,115,113,2,0.145385588,0,0,0,0,0,676,0,1611,2145,0,0,4870
10,1517157222.214606047,1517157222.315445185,31,30,0.010565074,0.015117238,1,1,0,0,0,0.062463136,-0.011906666,-0.060197653,0.013065968,-0.003212356,0.013660596,0.999816158,788,579,0.734771574,0.033842973,0.019920686,0.013954592,0.679279505,21.960428963,503,0.921914759,97.016515180,150.876662277,215.829946276,0.209212157,0.192875776,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002923,0.000003829,0.000004909,-0.156211327,0.475242945,-0.865876530,0.000000021,0.000000036,0.000002718,0.942384551,0.331019477,-0.048347320,0.000000000,0.607152890,0.267633712,0.149904536,0.025371542,24.485484122,0,0.210474074,0.195684174,1.000000000,1.000000000,129,121,8,0.163705584,0,0,0,0,0,659,0,1650,2274,0,0,5529
