frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1517157222.113745928,1517157222.214585304,1,0,0,0,-0.000975840,-0.002894017,0.008909038,-0.000403286,0.000249627,-0.000250884,0.999999856,781,605,0.774647887,0.016854790,0.007944862,0.005433282,0.497363921,20.821391292,0.000000000,0.497363921,0.000000000,0.000000000,0.000000000,20.821391292,0,338,331,7,0.432778489,52,0,0,0,0,0,388,55,820,338,52,0,0,388
2,1517157222.214606047,1517157222.315445185,1,0,0,0,-0.003742533,-0.006873113,0.013332406,-0.001822373,-0.000164640,-0.000411009,0.999998241,787,628,0.797966963,0.018814788,0.007123527,0.005416593,0.480159282,23.219501984,0.000000000,0.488761602,0.054948729,0.006561554,0.000319448,22.020446638,0,309,304,5,0.392630241,63,0,0,0,0,0,409,69,917,647,115,0,0,797
3,1517157222.315465927,1517157222.416305304,1,0,0,0,-0.007951310,-0.006203567,0.017334416,-0.000493542,0.000526577,-0.000485864,0.999999622,782,639,0.817135550,0.018351013,0.007912561,0.005753015,0.474933059,23.536408257,0.000000000,0.484152087,0.046446290,0.012407764,0.000470279,22.525767178,0,198,198,0,0.253196931,59,0,0,0,0,0,520,64,951,845,174,0,0,1317
4,1517157222.416326046,1517157222.517165184,1,0,0,0,-0.009583023,-0.002472493,0.021696260,-0.000177157,0.000758670,-0.000737979,0.999999424,777,643,0.827541828,0.019657892,0.009530121,0.006720894,0.481242779,26.805333663,0.000000000,0.483424760,0.055251009,0.018375099,0.000974259,23.595658799,0,162,162,0,0.208494208,31,0,0,0,0,0,581,34,962,1007,205,0,0,1898
5,1517157222.517185926,1517157222.618025303,1,0,0,0,-0.011087545,0.000772131,0.022529545,0.000581300,0.000993560,-0.000970262,0.999998867,794,659,0.829974811,0.021910524,0.010474134,0.007596650,0.474828055,24.001847079,0.000000000,0.481705419,0.087188544,0.022047365,0.001437402,23.676896455,0,153,152,1,0.192695214,43,0,0,0,0,0,594,47,984,1160,248,0,0,2492
6,1517157222.618046045,1517157222.718885183,1,0,0,0,-0.009288195,0.001644454,0.019483309,0.000781725,0.000950816,-0.000925919,0.999998814,789,655,0.830164766,0.017865214,0.008121959,0.005931124,0.481258691,26.795416443,0.000000000,0.481630964,0.084172321,0.025691285,0.001526419,24.196649786,0,71,70,1,0.089987326,33,0,0,0,0,0,681,37,994,1231,281,0,0,3173
7,1517157222.718905926,1517157222.819745302,1,0,0,0,-0.006069583,-0.001380395,0.017371235,-0.000178982,0.000544788,-0.000650973,0.999999624,772,642,0.831606218,0.015755780,0.007136457,0.005419392,0.486956413,24.724366384,0.000000000,0.482391743,0.099730778,0.030587205,0.002074632,24.272037872,0,67,67,0,0.086787565,33,0,0,0,0,0,666,39,1002,1298,314,0,0,3839
8,1517157222.819766045,1517157222.920605183,1,0,0,0,-0.003289822,-0.003668278,0.015935691,0.000044309,0.000680831,-0.000657523,0.999999551,782,650,0.831202046,0.016503706,0.006345522,0.004796277,0.481080103,26.937252378,0.000000000,0.482227788,0.100984728,0.034463062,0.002087478,24.605189685,0,82,81,1,0.104859335,34,0,0,0,0,0,662,38,1017,1380,348,0,0,4501
9,1517157222.920625925,1517157223.021395206,1,0,0,0,-0.001784548,-0.004236251,0.014359599,0.000007998,0.000691257,-0.000669689,0.999999537,778,650,0.835475578,0.015990332,0.006451032,0.004676216,0.479005236,28.079691417,0.000000000,0.481869726,0.104062357,0.036715285,0.002111860,24.991245433,0,74,74,0,0.095115681,27,0,0,0,0,0,674,30,1028,1454,375,0,0,5175
10,1517157223.021415949,1517157223.122255325,1,0,0,0,-0.002728996,-0.003460910,0.013852053,0.000112933,0.000724576,-0.000731811,0.999999463,773,651,0.842173351,0.016444151,0.006457648,0.004612747,0.507979451,27.022093715,0.000000000,0.484480699,0.102816206,0.038038440,0.002235951,25.194330261,0,42,42,0,0.054333765,34,0,0,0,0,0,694,37,1030,1496,409,0,0,5869
