time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason,directional_noise_applied,directional_translation_scale,weak_tx,weak_ty,weak_tz
1517157236.233263254,42,9,0.149901144,1.495474117,0.300000000,nan,nan,0,0,2941,1090,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157236.636703253,44,9,0.157440329,1.752737236,0.300000000,nan,nan,0,0,2941,1070,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157236.838423252,45,9,0.167358739,0.691190269,0.300000000,nan,nan,0,0,2941,1075,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157237.746102333,49,17,0.147167338,0.470696113,0.300000000,nan,nan,0,0,2501,1089,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157237.947822332,50,8,0.154114572,1.611345428,0.300000000,nan,nan,0,0,2877,1101,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157239.158021212,56,10,0.158501121,4.236174161,0.300000000,nan,nan,0,0,3070,1087,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157239.359741211,57,26,0.134485306,0.210810842,0.300000000,0.145719981,0.001496525,0,1,2554,1078,accepted,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157239.561461210,58,26,0.130873386,nan,nan,nan,nan,0,0,0,1095,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157239.964901209,60,28,0.126107772,nan,nan,nan,nan,0,0,0,1044,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.166559219,61,28,0.139592347,nan,nan,nan,nan,0,0,0,1050,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.368279219,62,10,0.149311387,nan,nan,nan,nan,0,0,0,1088,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.670859337,63,17,0.160631517,nan,nan,nan,nan,0,0,0,1163,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.973439217,64,26,0.068959411,nan,nan,nan,nan,0,0,0,1121,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157241.175098181,65,28,0.095091450,nan,nan,nan,nan,0,0,0,1106,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157241.376818180,66,27,0.139770648,nan,nan,nan,nan,0,0,0,1119,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157242.385376215,70,26,0.139666564,nan,nan,nan,nan,0,0,0,1077,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157242.587096214,71,28,0.122873620,nan,nan,nan,nan,0,0,0,1108,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157242.788816214,72,27,0.125095633,nan,nan,nan,nan,0,0,0,1092,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157242.990536213,73,28,0.179987042,nan,nan,nan,nan,0,0,0,1095,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157243.192184210,74,28,0.083478891,nan,nan,nan,nan,0,0,0,1111,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157243.797344208,77,26,0.144937018,nan,nan,nan,nan,0,0,0,1123,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157243.999064207,78,45,0.175165682,nan,nan,nan,nan,0,0,0,1136,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157244.200714350,79,26,0.163271870,nan,nan,nan,nan,0,0,0,1123,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157244.402435303,80,45,0.146704818,nan,nan,nan,nan,0,0,0,1078,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157244.604155302,81,45,0.171528817,nan,nan,nan,nan,0,0,0,1119,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
