time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason,directional_noise_applied,directional_translation_scale,weak_tx,weak_ty,weak_tz
1517157236.737563372,45,9,0.150568341,0.170199151,0.300000000,0.054177681,0.001785780,0,1,2952,1033,accepted,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157237.443522215,48,17,0.173738849,nan,nan,nan,nan,0,0,0,1082,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157237.645242214,49,17,0.158117979,nan,nan,nan,nan,0,0,0,1059,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157237.846962214,50,8,0.157195681,nan,nan,nan,nan,0,0,0,1083,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157238.048622370,51,19,0.145539424,nan,nan,nan,nan,0,0,0,1071,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157239.359741211,57,26,0.138484414,nan,nan,nan,nan,0,0,0,1076,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157239.561461210,58,27,0.124853441,nan,nan,nan,nan,0,0,0,1096,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157239.964901209,60,27,0.150890290,nan,nan,nan,nan,0,0,0,1045,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.166559219,61,27,0.159363764,nan,nan,nan,nan,0,0,0,1051,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.368279219,62,31,0.119749282,nan,nan,nan,nan,0,0,0,1088,loop_pair_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.569999218,63,31,0.084725886,nan,nan,nan,nan,0,0,0,1166,loop_pair_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.771719217,64,27,0.122573120,nan,nan,nan,nan,0,0,0,1124,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.973439217,65,27,0.075442028,nan,nan,nan,nan,0,0,0,1119,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157241.175098181,66,27,0.112675624,nan,nan,nan,nan,0,0,0,1106,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157241.376818180,67,27,0.158149510,nan,nan,nan,nan,0,0,0,1119,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157242.385376215,72,27,0.135572753,nan,nan,nan,nan,0,0,0,1078,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157242.587096214,73,29,0.120603808,nan,nan,nan,nan,0,0,0,1108,loop_pair_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157242.788816214,74,28,0.127272673,nan,nan,nan,nan,0,0,0,1095,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157242.990536213,75,28,0.173344111,nan,nan,nan,nan,0,0,0,1096,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157243.192184210,76,27,0.082555189,nan,nan,nan,nan,0,0,0,1111,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157243.797344208,79,26,0.154182917,nan,nan,nan,nan,0,0,0,1119,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157244.200714350,81,45,0.140145730,0.523328568,0.300000000,nan,nan,0,0,3109,1123,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157244.402435303,82,45,0.179523116,0.837525311,0.300000000,nan,nan,0,0,3109,1077,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157244.604155302,83,45,0.157170422,1.822512449,0.300000000,nan,nan,0,0,3109,1119,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157244.906735182,84,45,0.151018510,0.894284015,0.300000000,nan,nan,0,0,3109,1080,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157245.108395338,85,31,0.141265261,0.755870665,0.300000000,nan,nan,0,0,3098,1128,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157245.310115337,86,26,0.120280060,nan,nan,nan,nan,0,0,0,1125,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157245.511835337,87,45,0.051056437,1.242801942,0.300000000,nan,nan,0,0,3109,1088,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157245.713555574,88,45,0.070905742,0.847007592,0.300000000,nan,nan,0,0,3109,1077,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
