time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason,directional_noise_applied,directional_translation_scale,weak_tx,weak_ty,weak_tz
1517157236.737563372,45,9,0.151625428,0.169562205,0.300000000,0.047079514,0.001037925,0,1,2947,1033,accepted,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157237.140942335,47,10,0.166913212,nan,nan,nan,nan,0,0,0,1059,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157237.342662334,48,17,0.177143307,nan,nan,nan,nan,0,0,0,1030,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157237.746102333,50,17,0.147166345,nan,nan,nan,nan,0,0,0,1092,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157237.947822332,51,8,0.154132271,nan,nan,nan,nan,0,0,0,1100,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157238.149482250,52,19,0.144084153,nan,nan,nan,nan,0,0,0,1089,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157239.158021212,57,26,0.164927468,nan,nan,nan,nan,0,0,0,1087,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157239.359741211,58,26,0.138457806,nan,nan,nan,nan,0,0,0,1076,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157239.561461210,59,27,0.124776311,nan,nan,nan,nan,0,0,0,1094,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157239.964901209,61,27,0.150849577,nan,nan,nan,nan,0,0,0,1043,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.166559219,62,31,0.156491388,nan,nan,nan,nan,0,0,0,1051,loop_pair_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.368279219,63,31,0.119709182,nan,nan,nan,nan,0,0,0,1087,loop_pair_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.569999218,64,31,0.084724476,nan,nan,nan,nan,0,0,0,1165,loop_pair_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.771719217,65,27,0.122575630,nan,nan,nan,nan,0,0,0,1124,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.973439217,66,27,0.075450494,nan,nan,nan,nan,0,0,0,1120,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157241.175098181,67,27,0.112674779,nan,nan,nan,nan,0,0,0,1106,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157242.486236334,73,27,0.067521019,nan,nan,nan,nan,0,0,0,1106,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
