frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp,incremental_degenerate,incremental_stamp,imu_speed,imu_stamp,deskew_points,deskew_stamp,corner_points,corner_stamp,surface_points,surface_stamp
1,1517157220.399239063,0.000000000,0.000000000,0.000000000,0.005422282,-0.005408992,0.000029330,0.999970670,0,0.000000000,0,0.000000000,0,0.000000000,0.000000000,0.000000000,27338,1517157220.399239063,290,1517157220.399239063,3113,1517157220.399239063
2,1517157220.600959063,0.009785634,-0.002192224,-0.003209195,0.002548279,-0.025729745,-0.009635020,0.999619254,2712,1517157220.399239063,0,0.000000000,0,1517157220.399239063,0.000000000,0.000000000,27387,1517157220.600959063,281,1517157220.600959063,3066,1517157220.600959063
3,1517157220.802679062,0.035128012,-0.008642529,0.003207647,0.011933426,-0.021660561,-0.017707906,0.999537315,2683,1517157220.600959063,0,0.000000000,0,1517157220.600959063,0.017435051,1517157221.019088030,27096,1517157220.802679062,282,1517157220.802679062,3130,1517157220.802679062
4,1517157221.004338980,0.029386073,-0.014420155,0.009107565,0.012858134,-0.020141432,-0.017616269,0.999559232,2717,1517157220.802679062,0,0.000000000,0,1517157220.802679062,0.033079136,1517157221.219088078,27105,1517157221.004338980,282,1517157221.004338980,3136,1517157221.004338980
5,1517157221.206058979,0.022124568,-0.012057648,0.003802042,0.013690808,-0.020525431,-0.016865085,0.999553319,2730,1517157221.004338980,0,0.000000000,0,1517157221.004338980,0.032193729,1517157221.419087887,27147,1517157221.206058979,272,1517157221.206058979,3152,1517157221.206058979
6,1517157221.407778978,0.024522049,-0.011294249,-0.003703944,0.013400213,-0.019078197,-0.016626967,0.999589916,2728,1517157221.206058979,0,0.000000000,0,1517157221.206058979,0.155625070,1517157221.724080086,27083,1517157221.407778978,276,1517157221.407778978,3128,1517157221.407778978
7,1517157221.710359097,0.075874001,-0.010077682,0.003722537,0.013653774,-0.030846654,-0.007125045,0.999405469,2714,1517157221.407778978,0,0.000000000,0,1517157221.407778978,0.083249897,1517157221.924079895,27093,1517157221.710359097,275,1517157221.710359097,3151,1517157221.710359097
8,1517157221.912080050,0.084685728,-0.008181535,-0.007236596,0.015515223,-0.021725590,-0.006321214,0.999623589,2714,1517157221.710359097,0,0.000000000,0,1517157221.710359097,0.093259698,1517157222.229039907,26977,1517157221.912080050,276,1517157221.912080050,3155,1517157221.912080050
9,1517157222.113745928,0.071398549,-0.008838600,-0.003335148,0.014697548,-0.022322577,-0.007049836,0.999617919,2725,1517157221.912080050,0,0.000000000,0,1517157221.912080050,0.054754173,1517157222.394032001,27007,1517157222.113745928,279,1517157222.113745928,3155,1517157222.113745928
10,1517157222.315465927,0.066165842,-0.009290435,-0.002287322,0.014957497,-0.022744267,-0.007625515,0.999600332,2727,1517157222.113745928,0,0.000000000,0,1517157222.113745928,0.063770047,1517157222.529040098,27035,1517157222.315465927,279,1517157222.315465927,3156,1517157222.315465927
11,1517157222.517185926,0.069565222,-0.009409441,-0.001143391,0.013754109,-0.023080699,-0.007387738,0.999611688,2733,1517157222.315465927,0,0.000000000,0,1517157222.315465927,0.075198496,1517157222.729039907,26992,1517157222.517185926,276,1517157222.517185926,3160,1517157222.517185926
12,1517157222.718905926,0.070491970,-0.009021744,-0.002905970,0.014095378,-0.022831548,-0.007345229,0.999612969,2731,1517157222.517185926,0,0.000000000,0,1517157222.517185926,0.074018448,1517157223.038975954,27011,1517157222.718905926,275,1517157222.718905926,3132,1517157222.718905926
13,1517157222.920625925,0.068918735,-0.009520911,-0.004479015,0.014042334,-0.022783797,-0.007460045,0.999613955,2706,1517157222.718905926,0,0.000000000,0,1517157222.718905926,0.063836346,1517157223.133968115,26987,1517157222.920625925,273,1517157222.920625925,3158,1517157222.920625925
14,1517157223.122276068,0.069099106,-0.009975885,-0.005097399,0.013703913,-0.022854337,-0.007428015,0.999617280,2727,1517157222.920625925,0,0.000000000,0,1517157222.920625925,0.059402821,1517157223.333967924,27042,1517157223.122276068,286,1517157223.122276068,3136,1517157223.122276068
15,1517157223.323996067,0.071941629,-0.007636133,-0.009232363,0.014132113,-0.022603191,-0.007323375,0.999617801,2724,1517157223.122276068,0,0.000000000,0,1517157223.122276068,0.054343260,1517157223.533967972,26978,1517157223.323996067,284,1517157223.323996067,3139,1517157223.323996067
16,1517157223.525716066,0.070632070,-0.007269491,-0.008913266,0.014818693,-0.022439713,-0.007313356,0.999611615,2725,1517157223.323996067,0,0.000000000,0,1517157223.323996067,0.048093148,1517157223.738976002,26968,1517157223.525716066,273,1517157223.525716066,3155,1517157223.525716066
17,1517157223.727436066,0.071283601,-0.006366994,-0.011909229,0.014841258,-0.022249319,-0.007317766,0.999615504,2726,1517157223.525716066,0,0.000000000,0,1517157223.525716066,0.027044953,1517157223.938976049,27013,1517157223.727436066,281,1517157223.727436066,3159,1517157223.727436066
18,1517157223.929156065,0.086856872,-0.003924786,-0.007309936,0.013566885,-0.023798149,-0.006878735,0.999601056,2736,1517157223.727436066,0,0.000000000,0,1517157223.727436066,0.138079412,1517157224.143903971,27034,1517157223.929156065,275,1517157223.929156065,3141,1517157223.929156065
19,1517157224.130816936,0.110122815,-0.002926429,-0.010648320,0.012812568,-0.026013248,-0.005536615,0.999564152,2706,1517157223.929156065,0,0.000000000,0,1517157223.929156065,0.332723303,1517157224.343904018,26982,1517157224.130816936,284,1517157224.130816936,3152,1517157224.130816936
