frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp,incremental_degenerate,incremental_stamp,imu_speed,imu_stamp,deskew_points,deskew_stamp,corner_points,corner_stamp,surface_points,surface_stamp
1,1517157219.390698910,0.000000000,0.000000000,0.000000000,-0.003889197,-0.039576922,-0.000154044,0.999208946,0,0.000000000,0,0.000000000,0,0.000000000,0.000000000,0.000000000,27994,1517157219.390698910,273,1517157219.390698910,2901,1517157219.390698910
2,1517157219.592418909,0.203709036,-0.052787803,0.009019689,-0.011042871,-0.030679264,-0.087154395,0.995661061,2528,1517157219.390698910,0,0.000000000,0,1517157219.390698910,0.000000000,0.000000000,27900,1517157219.592418909,291,1517157219.592418909,3032,1517157219.592418909
3,1517157219.794140100,0.377749681,-0.137761936,-0.005812584,-0.001300168,-0.016773685,-0.147345431,0.988941999,2670,1517157219.592418909,0,0.000000000,0,1517157219.592418909,0.117819117,1517157220.009151936,27213,1517157219.794140100,294,1517157219.794140100,3290,1517157219.794140100
4,1517157219.995860100,0.425024539,-0.155473188,0.012336954,0.014605114,0.018752787,-0.146852758,0.988872738,2833,1517157219.794140100,0,0.000000000,0,1517157219.794140100,0.088560624,1517157220.209151983,27244,1517157219.995860100,292,1517157219.995860100,3195,1517157219.995860100
5,1517157220.197519064,0.424984783,-0.147499695,0.005424212,0.012475800,0.002732529,-0.146598574,0.989113616,2782,1517157219.995860100,0,0.000000000,0,1517157219.995860100,0.170677855,1517157220.414144039,27294,1517157220.197519064,292,1517157220.197519064,3084,1517157220.197519064
6,1517157220.399239063,0.415715963,-0.139860019,-0.009560563,0.005632887,-0.007895599,-0.150234954,0.988602746,2668,1517157220.197519064,0,0.000000000,0,1517157220.197519064,0.045456247,1517157220.619152069,27338,1517157220.399239063,290,1517157220.399239063,3113,1517157220.399239063
7,1517157220.600959063,0.418069810,-0.147221327,-0.012036402,-0.001308598,-0.032202886,-0.159888059,0.986608874,2712,1517157220.399239063,0,0.000000000,0,1517157220.399239063,0.060279538,1517157220.819152117,27387,1517157220.600959063,281,1517157220.600959063,3066,1517157220.600959063
8,1517157220.802679062,0.443063468,-0.165999755,0.012630801,0.002299626,-0.022168722,-0.167741540,0.985579036,2683,1517157220.600959063,0,0.000000000,0,1517157220.600959063,0.180176721,1517157221.024080038,27096,1517157220.802679062,282,1517157220.802679062,3130,1517157220.802679062
9,1517157221.004338980,0.434183657,-0.167106479,0.018390534,0.004061826,-0.020312954,-0.167627122,0.985632809,2717,1517157220.802679062,0,0.000000000,0,1517157220.802679062,0.144690488,1517157221.229088068,27105,1517157221.004338980,282,1517157221.004338980,3136,1517157221.004338980
10,1517157221.206058979,0.429587394,-0.164319351,0.014311104,0.002745665,-0.021223758,-0.166797086,0.985758969,2730,1517157221.004338980,0,0.000000000,0,1517157221.004338980,0.111868597,1517157221.419087887,27147,1517157221.206058979,272,1517157221.206058979,3152,1517157221.206058979
