frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1517157220.600938559,-0.006084444,-0.014085113,0.086912098,-0.012718638,-0.012116386,-0.005499490,0.999830578,0,0.000000000,0,0.000000000
2,1517157220.701798201,0.023148154,-0.001813583,0.019674285,0.003838321,-0.013723441,-0.016366174,0.999764514,0,0.000000000,0,0.000000000
3,1517157220.802658319,0.034272504,-0.005621507,-0.022432817,0.014957563,-0.008009800,-0.014848329,0.999745788,28090,1517157220.701798201,0,0.000000000
4,1517157220.903518200,0.031960620,-0.006743260,0.007061554,0.017005030,-0.002401388,-0.015498786,0.999732389,27994,1517157220.802658319,0,0.000000000
5,1517157221.004318237,0.024202671,-0.016377510,0.030330330,0.016916709,-0.003419812,-0.015107998,0.999736905,27840,1517157220.903518200,27840,1517157221.004318237
6,1517157221.105178356,0.020622228,-0.022125707,0.051082670,0.012926270,-0.005066886,-0.014530251,0.999798035,27779,1517157221.004318237,27840,1517157221.004318237
7,1517157221.206038237,0.016527398,-0.026481154,0.072348120,0.011315854,-0.005932583,-0.014576639,0.999812121,27815,1517157221.105178356,27840,1517157221.004318237
8,1517157221.306898355,0.014705202,-0.033870904,0.085344132,0.009048074,-0.007183398,-0.014266117,0.999831490,27858,1517157221.206038237,27840,1517157221.004318237
9,1517157221.407758236,0.013320660,-0.036624309,0.091371727,0.009002864,-0.007189541,-0.014477768,0.999828812,27890,1517157221.306898355,27840,1517157221.004318237
10,1517157221.508618355,0.015191374,-0.036720409,0.098871714,0.009340252,-0.011434608,-0.013361517,0.999801720,27844,1517157221.407758236,27840,1517157221.004318237
11,1517157221.609477997,0.027234828,-0.042297748,0.125868550,0.008822491,-0.025934206,-0.008109674,0.999591824,27837,1517157221.508618355,27840,1517157221.004318237
12,1517157221.710338354,0.051250823,-0.039038963,0.109373260,0.008524680,-0.019977204,-0.004854893,0.999752305,27847,1517157221.609477997,27840,1517157221.004318237
13,1517157221.811198235,0.070595080,-0.037672481,0.092904381,0.007615991,-0.013387325,-0.004124881,0.999872873,27854,1517157221.710338354,27840,1517157221.004318237
14,1517157221.912058353,0.082138744,-0.042435977,0.092820973,0.007009297,-0.013503837,-0.004124881,0.999875743,27813,1517157221.811198235,27840,1517157221.004318237
15,1517157222.012864351,0.077253663,-0.039626625,0.084036757,0.010148173,-0.012635862,-0.004291402,0.999859457,27732,1517157221.912058353,27840,1517157221.004318237
16,1517157222.113724232,0.071684718,-0.037512843,0.086263145,0.011027057,-0.013578705,-0.004983303,0.999834581,27704,1517157222.012864351,55544,1517157222.012864351
17,1517157222.214585304,0.060452612,-0.032440433,0.077462013,0.011105490,-0.013247792,-0.005749278,0.999834041,27729,1517157222.113724232,55544,1517157222.012864351
18,1517157222.315445185,0.055624405,-0.030273225,0.068890041,0.010890743,-0.013069330,-0.005149141,0.999842023,27746,1517157222.214585304,55544,1517157222.012864351
19,1517157222.416305304,0.055178418,-0.029366949,0.070719830,0.012032155,-0.012340462,-0.005270348,0.999837569,27780,1517157222.315445185,55544,1517157222.012864351
