time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1517157262.757878065,87,30,0.168293850,14.897937700,0.300000000,nan,nan,0,0,4642,1101,fitness_reject
1517157278.692784071,126,29,0.143841162,68.234172928,0.300000000,nan,nan,0,0,4848,900,fitness_reject
1517157279.903040886,129,95,0.152541869,0.596557491,0.300000000,nan,nan,0,0,4456,968,fitness_reject
1517157280.306419849,130,31,0.174359334,109.437224185,0.300000000,nan,nan,0,0,4210,1021,fitness_reject
1517157284.844875097,141,101,0.164579973,0.694423119,0.300000000,nan,nan,0,0,4528,1042,fitness_reject
1517157286.155932903,144,95,0.147818658,1.089533628,0.300000000,nan,nan,0,0,4456,1053,fitness_reject
1517157322.463339090,198,100,0.156523745,nan,nan,nan,nan,0,0,4501,1116,icp_not_converged
1517157322.866779089,199,104,0.177011608,893.625453445,0.300000000,nan,nan,0,0,5135,1078,fitness_reject
1517157323.673597097,201,28,0.176235825,nan,nan,nan,nan,0,0,4804,1105,icp_not_converged
1517157324.177835941,202,28,0.150373057,nan,nan,nan,nan,0,0,4804,1087,icp_not_converged
1517157325.085515976,204,139,0.155815581,nan,nan,nan,nan,0,0,3920,1105,icp_not_converged
1517157326.598356009,208,99,0.139433490,nan,nan,nan,nan,0,0,4319,1120,icp_not_converged
1517157326.900935888,209,79,0.149999595,nan,nan,nan,nan,0,0,5623,1123,icp_not_converged
1517157327.808621883,212,142,0.166042740,628.979520846,0.300000000,nan,nan,0,0,4414,1129,fitness_reject
1517157328.211990118,213,145,0.178563348,803.603628229,0.300000000,nan,nan,0,0,4596,1111,fitness_reject
1517157328.615430117,214,106,0.162589395,nan,nan,nan,nan,0,0,5670,1115,icp_not_converged
1517157329.422251940,216,142,0.177055901,1255.172996010,0.300000000,nan,nan,0,0,4414,1071,fitness_reject
1517157332.548729897,224,59,0.144551675,nan,nan,nan,nan,0,0,4908,1124,icp_not_converged
1517157335.776068211,232,26,0.111000984,nan,nan,nan,nan,0,0,4688,1087,icp_not_converged
1517157336.986325979,235,84,0.174657108,nan,nan,nan,nan,0,0,4547,1065,icp_not_converged
1517157338.297380924,238,68,0.159603515,nan,nan,nan,nan,0,0,5883,1156,icp_not_converged
1517157343.239219904,249,28,0.122246456,nan,nan,nan,nan,0,0,4804,763,icp_not_converged
1517157371.680037975,267,182,0.173225602,6.520722166,0.300000000,nan,nan,0,0,3209,957,fitness_reject
1517157375.512475252,275,188,0.123834922,3.191456354,0.300000000,nan,nan,0,0,3343,1028,fitness_reject
1517157375.915915012,276,189,0.149044601,2.447796269,0.300000000,nan,nan,0,0,3498,1053,fitness_reject
1517157378.336371899,282,196,0.132952456,0.567232924,0.100000000,nan,nan,1,0,4392,1119,fitness_reject
1517157378.739811897,283,196,0.104874901,0.513772921,0.100000000,nan,nan,1,0,4392,1100,fitness_reject
1517157379.042331934,284,197,0.116207588,0.437430179,0.100000000,nan,nan,1,0,4450,1118,fitness_reject
1517157379.344912052,285,199,0.091629954,0.358410529,0.300000000,nan,nan,0,0,4940,1086,fitness_reject
1517157379.748353004,286,201,0.163751939,0.264826906,0.100000000,nan,nan,1,0,5370,1096,fitness_reject
1517157380.151731968,287,202,0.166336770,0.218662999,0.300000000,0.279445752,0.005632317,0,1,5310,1163,accepted
1517157380.958611965,289,203,0.126130336,nan,nan,nan,nan,0,0,0,1227,current_cooldown_reject
1517157381.361990929,290,203,0.162378109,nan,nan,nan,nan,0,0,0,1129,current_cooldown_reject
1517157382.168811083,292,91,0.179107286,nan,nan,nan,nan,0,0,4718,1081,icp_not_converged
1517157383.984230042,297,78,0.179179397,nan,nan,nan,nan,0,0,5713,1108,icp_not_converged
1517157384.589329004,299,211,0.151860074,nan,nan,nan,nan,0,0,0,1094,candidate_cooldown_reject
1517157385.396147013,301,214,0.154442610,nan,nan,nan,nan,0,0,0,1130,loop_pair_cooldown_reject
1517157386.606406927,304,237,0.151764686,0.945497856,0.100000000,nan,nan,1,0,3127,1127,fitness_reject
1517157387.413227081,306,59,0.164804194,nan,nan,nan,nan,0,0,4908,1119,icp_not_converged
1517157387.715806961,307,234,0.171044543,0.933533673,0.100000000,nan,nan,1,0,3489,1118,fitness_reject
1517157388.018325090,308,224,0.167853775,0.310536972,0.100000000,nan,nan,1,0,4817,1100,fitness_reject
1517157388.320905924,309,59,0.126492937,nan,nan,nan,nan,0,0,4908,1102,icp_not_converged
1517157388.724345922,310,59,0.129130626,nan,nan,nan,nan,0,0,4908,1121,icp_not_converged
1517157389.026865005,311,59,0.141928482,nan,nan,nan,nan,0,0,4908,1106,icp_not_converged
1517157392.254201889,319,127,0.139620619,nan,nan,nan,nan,0,0,5299,1090,icp_not_converged
