frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1517157221.206058979,1517157221.306898355,1,0,0,0,0.011795077,-0.025138236,-0.005493179,-0.000433046,-0.000589328,0.004795062,0.999988236,783,635,0.810983397,0.037650720,0.019150440,0.015671395,0.564657410,32.196486167,0.000000000,0.564657410,0.000000000,0.000000000,0.000000000,32.196486167,0,345,344,1,0.440613027,57,0,0,0,0,377,61,863,345,57,0,377
2,1517157221.306919098,1517157221.407758236,1,0,0,0,0.015604584,-0.027165659,-0.001792338,-0.001046607,-0.000663826,0.004394308,0.999989577,778,637,0.818766067,0.033058114,0.012968568,0.010531629,0.557055020,33.333836519,0.000000000,0.560856215,0.064950953,0.005684981,0.000800640,32.765161343,0,155,153,2,0.199228792,61,0,0,0,0,558,65,891,500,118,0,935
3,1517157221.407778978,1517157221.508618355,1,0,0,0,0.018580858,-0.032198350,0.010453208,0.002304684,-0.003587880,0.005538910,0.999975568,772,604,0.782383420,0.034864204,0.015589510,0.011865805,0.558366656,26.843858516,0.000000000,0.560026362,0.053681632,0.019254785,0.003072128,30.791393734,0,233,223,10,0.301813472,61,0,0,0,0,474,65,966,733,179,0,1409
4,1517157221.508639097,1517157221.609478235,1,0,0,0,0.024747290,-0.027512280,-0.030522013,0.008223247,-0.019006414,0.010338319,0.999732091,761,576,0.756898817,0.052277618,0.027706675,0.021438839,0.585562088,27.874912703,0.000000000,0.566410294,0.192015372,0.060955539,0.012385372,30.062273476,0,224,210,14,0.294349540,58,0,0,0,0,475,62,1074,957,237,0,1884
5,1517157221.609498978,1517157221.710338354,1,0,0,0,0.051092897,-0.027134461,-0.034112804,0.009415985,-0.011079077,0.013631195,0.999801372,755,579,0.766887417,0.036433283,0.019033388,0.013902788,0.524169873,23.967130428,0.000000000,0.557962209,0.177187574,0.087547409,0.019069034,28.843244866,0,208,188,20,0.275496689,48,0,0,0,0,499,48,1164,1165,285,0,2383
6,1517157221.710359097,1517157221.811198235,1,0,0,0,0.075956911,-0.022592224,-0.045589085,0.010624547,-0.008714295,0.014165605,0.999805239,773,570,0.737386805,0.059137522,0.032879941,0.024087420,0.536039633,22.893920648,0.000000000,0.554308447,0.232733907,0.115306303,0.020159265,27.851690830,0,197,179,18,0.254851229,61,0,0,0,0,515,61,1259,1362,346,0,2898
7,1517157221.811218977,1517157221.912058353,1,0,0,0,0.081469306,-0.022747639,-0.041258759,0.009577946,-0.000580690,0.014057325,0.999855148,790,573,0.725316456,0.048089277,0.023798908,0.016628362,0.530892843,23.598634036,0.000000000,0.550963360,0.216570774,0.122317891,0.020204745,27.244111288,0,204,192,12,0.258227848,58,0,0,0,0,524,62,1360,1566,404,0,3422
8,1517157221.912080050,1517157222.012864351,1,0,0,0,0.078436578,-0.026214633,-0.038922763,0.008087220,-0.001871219,0.012911998,0.999882181,792,581,0.733585859,0.037052915,0.018268837,0.011874196,0.544532735,24.258693468,0.000000000,0.550159532,0.211484451,0.127482614,0.022514178,26.870934061,0,178,175,3,0.224747475,45,0,0,0,0,563,51,1424,1744,449,0,3985
9,1517157222.012886047,1517157222.113724232,1,0,0,0,0.071307256,-0.026624032,-0.031771780,0.007435876,-0.002444637,0.013114547,0.999883363,776,579,0.746134021,0.027320332,0.016662739,0.011905121,0.534676806,20.771882181,0.000000000,0.548439229,0.237757712,0.137588621,0.022913441,26.193261629,0,137,131,6,0.176546392,27,0,0,0,0,608,31,1482,1881,476,0,4593
10,1517157222.113745928,1517157222.214585304,1,0,0,0,0.064855265,-0.024652724,-0.031650228,0.009367860,-0.002749535,0.012332412,0.999876290,785,597,0.760509554,0.032988914,0.017776058,0.012774510,0.539748272,22.216464980,0.000000000,0.547570134,0.237009139,0.144336141,0.024493307,25.795581964,0,105,101,4,0.133757962,26,0,0,0,0,648,32,1525,1986,502,0,5241
11,1517157222.214606047,1517157222.315445185,1,0,0,0,0.065040714,-0.026471098,-0.032044951,0.007359850,-0.003298206,0.012640027,0.999887586,788,603,0.765228426,0.030599162,0.017596067,0.013286713,0.585544622,23.629614834,0.000000000,0.551022360,0.240783261,0.146206082,0.025112082,25.598675862,0,107,105,2,0.135786802,23,0,0,0,0,653,28,1558,2093,525,0,5894
12,1517157222.315465927,1517157222.416305304,1,0,0,0,0.063734850,-0.025650202,-0.025866370,0.007648541,-0.003174666,0.012903331,0.999882456,794,594,0.748110831,0.026852546,0.015880646,0.010447301,0.549405306,21.414146094,0.000000000,0.550887605,0.252730594,0.152574286,0.025638626,25.249965048,0,80,80,0,0.100755668,17,0,0,0,0,691,23,1572,2173,542,0,6585
13,1517157222.416326046,1517157222.517165184,1,0,0,0,0.063178795,-0.023993312,-0.023412545,0.007934336,-0.003197172,0.013057007,0.999878162,794,598,0.753148615,0.026590489,0.015507362,0.010608522,0.541772956,22.296539322,0.000000000,0.550186478,0.261754407,0.155586883,0.025943776,25.022778453,0,52,52,0,0.065491184,18,0,0,0,0,719,23,1581,2225,560,0,7304
14,1517157222.517185926,1517157222.618025303,1,0,0,0,0.061156643,-0.023257372,-0.020836253,0.007080591,-0.003109050,0.012819160,0.999887928,803,606,0.754669988,0.027062284,0.014580014,0.010580236,0.536147197,22.485645901,0.000000000,0.549183673,0.266920338,0.158943664,0.026412656,24.841554700,0,61,61,0,0.075965131,21,0,0,0,0,716,26,1590,2286,581,0,8020
15,1517157222.618046045,1517157222.718885183,1,0,0,0,0.059284582,-0.021964608,-0.016567895,0.007272680,-0.002813184,0.012934002,0.999885946,792,602,0.760101010,0.025886300,0.013759309,0.009240865,0.544434524,21.154237969,0.000000000,0.548867063,0.273048371,0.163780474,0.026645361,24.595733584,0,49,49,0,0.061868687,17,0,0,0,0,722,21,1599,2335,598,0,8742
16,1517157222.718905926,1517157222.819745302,1,0,0,0,0.058882980,-0.022696119,-0.018741061,0.007494528,-0.003058075,0.012810507,0.999885179,781,591,0.756722151,0.024867150,0.013392180,0.008803386,0.564365605,20.293416331,0.000000000,0.549835722,0.279735840,0.166108358,0.026897271,24.326838756,0,24,23,1,0.030729834,16,0,0,0,0,736,21,1602,2359,614,0,9478
17,1517157222.819766045,1517157222.920605183,1,0,0,0,0.059810280,-0.023342322,-0.016669455,0.007076931,-0.002493316,0.012786933,0.999890091,788,606,0.769035533,0.026582328,0.014043632,0.009747681,0.530512704,21.533431278,0.000000000,0.548699074,0.281264066,0.168468234,0.026933921,24.162520669,0,49,49,0,0.062182741,19,0,0,0,0,716,23,1605,2408,633,0,10194
18,1517157222.920625925,1517157223.021395206,1,0,0,0,0.061239647,-0.023054307,-0.020509581,0.007009717,-0.003044809,0.013051459,0.999885620,783,600,0.766283525,0.025590267,0.013146677,0.008994443,0.552121242,21.864825834,0.000000000,0.548889194,0.283805424,0.172575862,0.027455749,24.034870956,0,28,28,0,0.035759898,21,0,0,0,0,730,25,1609,2436,654,0,10924
19,1517157223.021415949,1517157223.122255325,1,0,0,0,0.061347648,-0.022940127,-0.023522531,0.006407079,-0.003500081,0.013052876,0.999888154,783,599,0.765006386,0.025233032,0.013240873,0.009198303,0.586519270,21.362653227,0.000000000,0.550869724,0.286122167,0.175592908,0.027456641,23.894227918,0,25,25,0,0.031928480,16,0,0,0,0,739,19,1613,2461,670,0,11663
20,1517157223.122276068,1517157223.223115206,1,0,0,1,0.061198077,-0.022511198,-0.024260501,0.007079044,-0.002987882,0.012958473,0.999886512,787,604,0.767471410,0.024685093,0.013168132,0.008717311,0.554978223,23.492400858,0.000000000,0.551075149,0.288620633,0.176459483,0.027643160,23.874136565,0,20,20,0,0.025412961,19,0,0,0,0,744,23,1616,2481,689,0,12407
21,1517157223.223135948,1517157223.323975325,1,0,0,1,0.060150645,-0.021590165,-0.019679193,0.006495761,-0.002773741,0.012992432,0.999890648,787,600,0.762388818,0.025688048,0.013020690,0.009264157,0.569929396,24.490851327,0.000000000,0.551338749,0.296170097,0.175563426,0.026916763,23.488854823,0,30,30,0,0.038119441,19,0,0,0,0,733,24,1621,2511,708,0,13140
22,1517157223.323996067,1517157223.424835205,1,0,0,1,0.060545312,-0.022320308,-0.015101416,0.005532697,-0.003109940,0.013205508,0.999892660,789,607,0.769328264,0.025686886,0.013398035,0.009487686,0.575869741,25.757671317,0.000000000,0.552279485,0.303091058,0.166646031,0.025073312,23.110046563,0,34,34,0,0.043092522,22,0,0,0,0,729,26,1624,2545,730,0,13869
23,1517157223.424855947,1517157223.525695324,1,0,0,1,0.059166580,-0.021109790,-0.016659208,0.006717486,-0.002915973,0.012901004,0.999889962,795,618,0.777358491,0.024688311,0.013469753,0.009063288,0.546109894,23.411100009,0.000000000,0.551666647,0.311473188,0.127352136,0.016374121,22.938408637,0,26,26,0,0.032704403,18,0,0,0,0,747,22,1630,2571,748,0,14616
24,1517157223.525716066,1517157223.626555204,1,0,0,1,0.058637824,-0.020944014,-0.016431056,0.006009723,-0.003066442,0.012933936,0.999893591,793,604,0.761664565,0.025504944,0.013465933,0.009335262,0.548437137,22.622948288,0.000000000,0.549810399,0.287727587,0.101359531,0.009758797,22.675810416,0,31,31,0,0.039092055,16,0,0,0,0,740,22,1633,2602,764,0,15356
25,1517157223.626575947,1517157223.727415323,1,0,0,1,0.059861766,-0.018282872,-0.019445716,0.007036365,-0.003056845,0.013139879,0.999884238,787,602,0.764930114,0.024634715,0.012904764,0.008952940,0.575058610,21.760679622,0.000000000,0.552354836,0.292292041,0.077803956,0.009074147,22.565487876,0,18,18,0,0.022871665,17,0,0,0,0,746,23,1634,2620,781,0,16102
26,1517157223.727436066,1517157223.828275204,1,0,0,1,0.061050677,-0.017913404,-0.016546824,0.005583048,-0.002992389,0.013232177,0.999892387,791,604,0.763590392,0.026586919,0.013396500,0.009184945,0.561819258,23.973480221,0.000000000,0.553643817,0.195426863,0.073947299,0.009223107,22.619465855,0,22,22,0,0.027812895,21,0,0,0,0,745,24,1636,2642,802,0,16847
27,1517157223.828295946,1517157223.929135323,1,0,0,1,0.066982571,-0.017703606,-0.012521015,0.005332418,-0.005556387,0.013378384,0.999880848,786,594,0.755725191,0.036252086,0.019630939,0.014440201,0.520875756,24.468445900,0.000000000,0.553142963,0.131941474,0.075954642,0.007181191,22.662956448,0,102,88,14,0.129770992,25,0,0,0,0,659,25,1689,2744,827,0,17506
28,1517157223.929156065,1517157224.029935360,1,0,0,1,0.073703835,-0.015636022,-0.006398800,0.004514624,-0.007881088,0.014630132,0.999851722,769,566,0.736020806,0.035325516,0.015542197,0.012078686,0.557890295,23.117743769,0.000000000,0.553810841,0.124570330,0.075172358,0.009275340,22.605908963,0,112,101,11,0.145643693,49,0,0,0,0,608,49,1743,2856,876,0,18114
29,1517157224.029957056,1517157224.130795240,1,0,0,1,0.088266386,-0.013171290,-0.000371000,0.003937489,-0.009473879,0.014878205,0.999836677,782,565,0.722506394,0.034711139,0.017079323,0.012778607,0.582404735,24.943889891,0.000000000,0.556197237,0.135495297,0.084377178,0.008189575,22.814509349,0,117,111,6,0.149616368,32,0,0,0,0,611,54,1796,2973,908,0,18725
30,1517157224.130816936,1517157224.231655359,1,0,0,1,0.106080811,-0.010719889,-0.019852447,0.004469629,-0.014447578,0.015783449,0.999761058,760,546,0.718421053,0.035656866,0.017362848,0.013276094,0.562096435,24.054401937,0.000000000,0.557314645,0.142797683,0.109019308,0.009332742,22.906406196,0,97,90,7,0.127631579,36,0,0,0,0,623,40,1839,3070,944,0,19348
31,1517157224.231677055,1517157224.332516193,1,0,0,1,0.134794248,-0.010331287,-0.027668407,0.007651276,-0.014824945,0.017080539,0.999714926,790,571,0.722784810,0.036129762,0.020834039,0.014783995,0.597816490,22.507390808,0.000000000,0.557928239,0.153853701,0.132411845,0.011303735,22.850294995,0,145,132,13,0.183544304,30,0,0,0,0,613,32,1906,3215,974,0,19961
32,1517157224.332536936,1517157224.433376312,1,0,0,1,0.171842689,-0.008405751,-0.028212285,0.006884395,-0.014174859,0.017481673,0.999722996,785,555,0.707006369,0.031950245,0.017495897,0.012827606,0.569002234,24.338053508,0.000000000,0.558908085,0.154653952,0.166501680,0.011832118,22.996490366,0,120,113,7,0.152866242,21,0,0,0,0,643,22,1950,3335,995,0,20604
33,1517157224.433397055,1517157224.534236193,1,0,0,1,0.219126061,-0.004096761,-0.030150649,0.007811439,-0.014984169,0.017863970,0.999697622,780,575,0.737179487,0.035887054,0.020739512,0.014963340,0.595990150,25.407463461,0.000000000,0.561618945,0.161175485,0.210663758,0.012090263,23.152036573,0,85,83,2,0.108974359,26,0,0,0,0,668,27,1973,3420,1021,0,21272
34,1517157224.534256935,1517157224.635096312,1,0,0,1,0.269021218,-0.005223251,-0.033453427,0.007400840,-0.015618762,0.018384398,0.999681597,784,563,0.718112245,0.033318163,0.017542301,0.011503263,0.601752582,24.392910137,0.000000000,0.564899214,0.161962797,0.255843984,0.012903003,23.247399785,0,120,110,10,0.153061224,23,0,0,0,0,641,23,2014,3540,1044,0,21913
35,1517157224.635117054,1517157224.735956192,1,0,0,1,0.333600763,-0.002572466,-0.029346597,0.003647037,-0.018328960,0.021216522,0.999600224,789,562,0.712294043,0.033681450,0.016739981,0.012163014,0.577363161,24.163199942,0.000000000,0.566545646,0.160789830,0.318280369,0.018422592,23.397847883,0,141,138,3,0.178707224,29,0,0,0,0,617,31,2065,3681,1073,0,22530
36,1517157224.735976934,1517157224.836816311,1,0,0,1,0.420038034,0.004296057,-0.023623293,0.004571049,-0.017559442,0.022925292,0.999572510,765,559,0.730718954,0.032199342,0.014408970,0.010730238,0.551125722,24.117960463,0.000000000,0.565883652,0.155499293,0.402818908,0.021777141,23.589075090,0,109,108,1,0.142483660,27,0,0,0,0,628,28,2093,3790,1100,0,23158
37,1517157224.836837053,1517157224.937676191,1,0,0,1,0.516068059,0.008115711,-0.018152744,0.006774068,-0.016580468,0.025635621,0.999510888,746,539,0.722520107,0.028140874,0.014090330,0.010127140,0.495584996,27.663661256,0.000000000,0.564137266,0.153602437,0.494972811,0.026612805,23.895586589,0,110,109,1,0.147453083,20,0,0,0,0,615,21,2122,3900,1120,0,23773
38,1517157224.937696934,1517157225.038473368,1,0,0,1,0.619993451,0.020193407,-0.019692008,0.009971805,-0.019137150,0.036499397,0.999100659,735,544,0.740136054,0.026998838,0.016196678,0.011325059,0.488928386,26.867851342,0.000000000,0.560977624,0.151300616,0.596591931,0.048210116,24.145737864,0,89,89,0,0.121088435,17,0,0,0,0,625,21,2144,3989,1137,0,24398
39,1517157225.038494110,1517157225.139333248,1,0,0,1,0.731712559,0.032525413,-0.026626342,0.003549205,-0.021272388,0.052508976,0.998387548,755,549,0.727152318,0.025648861,0.013638711,0.009892054,0.514547289,24.524382130,0.000000000,0.557379025,0.150481914,0.708336734,0.080339644,24.303824309,0,107,107,0,0.141721854,19,0,0,0,0,625,23,2175,4096,1156,0,25023
40,1517157225.139353991,1517157225.240193367,1,0,0,1,0.851192615,0.047288167,-0.035058944,0.004991739,-0.021980936,0.050674465,0.998460825,737,544,0.738127544,0.027615690,0.014435317,0.011247560,0.516336820,27.010483948,0.000000000,0.555446954,0.145332970,0.824231411,0.084005971,24.479728464,0,82,80,2,0.111261872,22,0,0,0,0,629,26,2197,4178,1178,0,25652
41,1517157225.240214109,1517157225.341053247,1,0,0,1,0.980597141,0.065896292,-0.044367101,0.008833718,-0.022977123,0.059403929,0.997930454,737,527,0.715061058,0.034589132,0.017358742,0.012732691,0.550838236,27.615390551,0.000000000,0.554492396,0.141913148,0.950645531,0.100895714,24.635955425,0,84,82,2,0.113975577,26,0,0,0,0,627,26,2221,4262,1204,0,26279
42,1517157225.441934109,1517157225.542773247,1,0,0,1,1.266202440,0.127949768,-0.054176459,0.021995443,-0.012734188,0.127471257,0.991516576,742,526,0.708894879,0.044493292,0.024629203,0.017551635,0.515000656,36.342285778,0.000000000,0.551448942,0.161818335,1.240671988,0.236815298,25.165186148,0,124,124,0,0.167115903,28,0,0,0,0,585,33,2254,4386,1232,0,26864
