frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,dynamic_threshold_ready,dynamic_normal_ratio_threshold,dynamic_condition_threshold,dynamic_normal_ratio_mean,dynamic_normal_ratio_std,dynamic_condition_mean,dynamic_condition_std,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1517157223.122276068,1517157223.223115206,1,0,0,0,0.002291072,-0.000282171,0.002937948,-0.000488763,-0.000030654,-0.000282951,0.999999840,786,637,0.810432570,0.015500314,0.004558337,0.003751868,0.526027847,25.003852205,0.000000000,0.526027847,0.000000000,0.000000000,0.000000000,25.003852205,0,0,0.060000000,50.000000000,0.526027847,0.000000000,25.003852205,0.000000000,259,258,1,0.329516539,46,0,0,0,0,476,51,785,259,46,0,476
2,1517157223.223135948,1517157223.323975325,1,0,0,0,-0.000778622,0.000056684,0.003092755,-0.000383149,0.000006247,-0.000341149,0.999999868,793,639,0.805800757,0.015235666,0.004873165,0.004229183,0.519383289,24.233206785,0.000000000,0.522705568,0.008610355,0.003092218,0.000116432,24.618529495,0,0,0.060000000,50.000000000,0.522705568,0.003322279,24.618529495,0.385322710,239,237,2,0.301387137,48,0,0,0,0,501,53,820,498,94,0,977
3,1517157223.323996067,1517157223.424835205,1,0,0,0,0.000553348,-0.000256698,0.002924837,-0.000247397,0.000045876,-0.000331379,0.999999913,785,651,0.829299363,0.017110542,0.005667534,0.004989851,0.512862332,24.276869449,0.000000000,0.519424489,0.051948691,0.004470822,0.000135954,24.504642813,0,0,0.060000000,50.000000000,0.519424489,0.005374878,24.504642813,0.353444121,142,140,2,0.180891720,51,0,0,0,0,588,55,839,640,145,0,1565
4,1517157223.424855947,1517157223.525695324,1,0,0,0,0.001041393,-0.003195758,0.003799453,-0.000773557,-0.000184491,-0.000365449,0.999999617,799,657,0.822277847,0.017405277,0.005727363,0.004657764,0.502258171,25.027788881,0.000000000,0.515132910,0.058559688,0.007575852,0.000203786,24.635429330,0,0,0.060000000,50.000000000,0.515132910,0.008770402,24.635429330,0.380798371,169,169,0,0.211514393,44,0,0,0,0,582,48,848,809,189,0,2147
5,1517157223.525716066,1517157223.626555204,1,0,0,0,0.000837451,-0.004292492,0.004024529,-0.000289551,0.000020067,-0.000364313,0.999999892,791,640,0.809102402,0.016752389,0.005900190,0.004728327,0.487771518,24.677392106,0.000000000,0.509660631,0.053187691,0.008713866,0.000205761,24.643821885,0,0,0.060000000,50.000000000,0.509660631,0.013465485,24.643821885,0.341009764,159,158,1,0.201011378,42,0,0,0,0,584,48,880,968,231,0,2731
6,1517157223.626575947,1517157223.727415323,1,0,0,0,0.000814972,-0.004173065,0.003749823,-0.000383084,-0.000060137,-0.000336650,0.999999868,781,641,0.820742638,0.015890261,0.005297465,0.004239879,0.495783928,24.587612062,0.000000000,0.507347847,0.050180759,0.009014252,0.000261146,24.634453581,0,0,0.060000000,50.000000000,0.507347847,0.013335826,24.634453581,0.312001936,133,133,0,0.170294494,49,0,0,0,0,592,56,894,1101,280,0,3323
7,1517157223.727436066,1517157223.828275204,1,0,0,0,0.000972086,-0.004419172,0.002430322,-0.000597749,-0.000023611,-0.000403582,0.999999740,790,653,0.826582278,0.017232143,0.006597326,0.005319651,0.487397704,24.786867111,0.000000000,0.504497827,0.050043167,0.010365671,0.000395029,24.656226943,0,0,0.060000000,50.000000000,0.504497827,0.014183569,24.656226943,0.293740064,119,119,0,0.150632911,49,0,0,0,0,619,52,902,1220,329,0,3942
8,1517157223.828295946,1517157223.929135323,1,0,0,0,0.007958637,0.000963413,-0.005370778,0.002798078,0.000430711,-0.000575086,0.999995827,789,628,0.795944233,0.031139987,0.014463381,0.009938498,0.489326132,26.354247971,0.000000000,0.502601365,0.269096184,0.022140274,0.000735651,24.868479571,0,0,0.060000000,50.000000000,0.502601365,0.014184601,24.868479571,0.625184829,209,198,11,0.264892269,56,0,0,0,0,524,56,960,1429,385,0,4466
9,1517157223.929156065,1517157224.029935360,1,0,0,0,0.017308466,0.008207811,0.001042132,0.004571330,-0.000585946,0.000440255,0.999989283,762,589,0.772965879,0.033861978,0.015430395,0.011789006,0.490515067,21.578184544,0.000000000,0.501258443,0.336977304,0.035594865,0.002758553,24.502891235,0,0,0.060000000,50.000000000,0.501258443,0.013902321,24.502891235,1.190237906,222,204,18,0.291338583,53,0,0,0,0,487,53,1053,1651,438,0,4953
10,1517157224.029957056,1517157224.130795240,1,0,0,0,0.032513696,0.009205556,0.016856431,0.002171817,-0.000689031,0.001010171,0.999996894,777,601,0.773487773,0.030007639,0.012153438,0.009651242,0.486212277,20.971416515,0.000000000,0.499753827,0.336249468,0.057555889,0.003900757,24.149743763,0,0,0.060000000,50.000000000,0.499753827,0.013939940,24.149743763,1.548359738,166,157,9,0.213642214,53,0,0,0,0,537,74,1133,1817,491,0,5490
