time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1517157279.701320887,130,96,0.178327796,0.803848721,0.300000000,nan,nan,0,0,2646,960,fitness_reject
1517157284.945734978,143,86,0.156560122,1.800305262,0.300000000,nan,nan,0,0,2889,999,fitness_reject
1517157286.155932903,146,106,0.170545504,0.649322444,0.300000000,nan,nan,0,0,2968,1048,fitness_reject
1517157323.976176977,203,83,0.176496279,nan,nan,nan,nan,0,0,3069,1095,icp_not_converged
1517157324.480417013,204,139,0.156355462,nan,nan,nan,nan,0,0,2273,1112,icp_not_converged
1517157326.900935888,210,139,0.179692516,nan,nan,nan,nan,0,0,2273,1157,icp_not_converged
1517157327.203461885,211,104,0.175551898,nan,nan,nan,nan,0,0,2831,1110,icp_not_converged
1517157327.506042004,212,104,0.154646238,nan,nan,nan,nan,0,0,2831,1174,icp_not_converged
1517157327.808621883,213,103,0.150191609,nan,nan,nan,nan,0,0,2732,1097,icp_not_converged
1517157328.211990118,214,86,0.133113677,nan,nan,nan,nan,0,0,2889,1109,icp_not_converged
1517157328.615430117,215,147,0.144547065,2010.149390492,0.300000000,nan,nan,0,0,2538,1086,fitness_reject
1517157329.018811941,216,147,0.134230253,2109.605944259,0.300000000,nan,nan,0,0,2538,1075,fitness_reject
1517157331.741908073,222,59,0.169416087,nan,nan,nan,nan,0,0,2883,1144,icp_not_converged
1517157333.960710049,227,27,0.165566843,nan,nan,nan,nan,0,0,3193,1058,icp_not_converged
1517157335.271766901,230,127,0.166283558,nan,nan,nan,nan,0,0,2890,1088,icp_not_converged
1517157335.675208092,231,127,0.120842341,nan,nan,nan,nan,0,0,2890,1085,icp_not_converged
1517157336.885466099,234,84,0.174542925,nan,nan,nan,nan,0,0,3023,1062,icp_not_converged
1517157337.288845062,235,78,0.165684333,nan,nan,nan,nan,0,0,3252,1053,icp_not_converged
1517157341.423861980,244,30,0.141046255,nan,nan,nan,nan,0,0,3106,927,icp_not_converged
1517157343.138360023,248,30,0.121621333,nan,nan,nan,nan,0,0,3106,763,icp_not_converged
1517157371.579178095,265,183,0.169719964,2.059409116,0.300000000,nan,nan,0,0,2342,956,fitness_reject
1517157375.512475252,273,189,0.088200442,1.622734015,0.300000000,nan,nan,0,0,2194,1024,fitness_reject
1517157377.932995081,279,196,0.098531427,0.666052502,0.300000000,nan,nan,0,0,2447,1116,fitness_reject
1517157378.336371899,280,199,0.161111065,0.503927497,0.100000000,nan,nan,1,0,2524,1096,fitness_reject
1517157378.739811897,281,197,0.113743847,0.558643774,0.300000000,nan,nan,0,0,2468,1123,fitness_reject
1517157379.344912052,283,244,0.145585371,0.243665833,0.300000000,0.117564137,0.000724160,0,1,2384,1131,accepted
1517157379.647492886,284,200,0.110771800,0.348241129,0.100000000,nan,nan,1,0,2577,1092,fitness_reject
1517157379.950073004,285,200,0.090020320,0.300199807,0.100000000,nan,nan,1,0,2577,1139,fitness_reject
1517157380.756891966,287,204,0.110906041,0.134711091,0.100000000,nan,nan,1,0,2650,1264,fitness_reject
1517157381.967152119,290,92,0.179751759,nan,nan,nan,nan,0,0,2689,1082,icp_not_converged
1517157383.479928970,294,103,0.173562451,nan,nan,nan,nan,0,0,2732,1105,icp_not_converged
1517157384.690188885,298,244,0.174202334,0.956137864,0.100000000,nan,nan,1,0,2384,1116,fitness_reject
1517157387.312366962,305,243,0.161315506,2.361467807,0.100000000,nan,nan,1,0,2396,1118,fitness_reject
1517157387.614947081,306,233,0.169482525,0.971879624,0.100000000,nan,nan,1,0,2926,1119,fitness_reject
1517157388.220046043,308,243,0.178071115,2.882483339,0.100000000,nan,nan,1,0,2396,1099,fitness_reject
1517157388.825206041,310,126,0.176008714,nan,nan,nan,nan,0,0,2884,1102,icp_not_converged
1517157389.732884884,313,243,0.166383823,2.941834818,0.100000000,nan,nan,1,0,2396,1091,fitness_reject
1517157392.758502960,320,235,0.095761547,3.499911270,0.100000000,nan,nan,1,0,2824,1078,fitness_reject
1517157393.968761921,323,222,0.171640254,1.076441106,0.100000000,nan,nan,1,0,2636,1100,fitness_reject
1517157394.372140884,324,228,0.091336888,1.617163782,0.300000000,nan,nan,0,0,2982,1028,fitness_reject
1517157394.775581837,325,216,0.140749276,0.423661601,0.300000000,nan,nan,0,0,2653,1067,fitness_reject
1517157395.178941011,326,86,0.125604119,nan,nan,nan,nan,0,0,2889,1013,icp_not_converged
1517157395.582381010,327,88,0.156320544,nan,nan,nan,nan,0,0,2851,989,icp_not_converged
1517157395.985821009,328,86,0.147919643,nan,nan,nan,nan,0,0,2889,951,icp_not_converged
1517157427.048779011,363,183,0.146308296,228.033720153,0.300000000,nan,nan,0,0,2342,991,fitness_reject
1517157427.754800081,365,185,0.168727099,206.272053732,0.300000000,nan,nan,0,0,2350,1038,fitness_reject
1517157430.074397087,371,279,0.155000771,nan,nan,nan,nan,0,0,2563,1112,icp_not_converged
1517157431.082936049,373,239,0.158747594,nan,nan,nan,nan,0,0,2635,1068,icp_not_converged
1517157432.595783949,376,149,0.140764107,1.909718711,0.300000000,nan,nan,0,0,2529,1051,fitness_reject
1517157433.402595043,378,207,0.167655966,nan,nan,nan,nan,0,0,2695,1006,icp_not_converged
1517157433.806035042,379,332,0.142520558,869.145856672,0.300000000,nan,nan,0,0,2234,957,fitness_reject
1517157434.209414005,380,199,0.161847720,nan,nan,nan,nan,0,0,2524,943,icp_not_converged
1517157434.612854004,381,248,0.145878364,nan,nan,nan,nan,0,0,2107,917,icp_not_converged
1517157435.016232967,382,248,0.165519109,nan,nan,nan,nan,0,0,2107,965,icp_not_converged
1517157435.520533085,383,289,0.176724130,nan,nan,nan,nan,0,0,2671,1033,icp_not_converged
1517157436.327353001,385,207,0.175285071,nan,nan,nan,nan,0,0,2695,1102,icp_not_converged
1517157436.831653118,386,290,0.167906772,nan,nan,nan,nan,0,0,2679,1099,icp_not_converged
1517157437.335891962,387,104,0.156976106,0.144939446,0.300000000,0.064725937,0.001443885,0,1,2831,1078,accepted
1517157442.378588915,399,28,0.164348903,14.079265870,0.300000000,nan,nan,0,0,3200,1005,fitness_reject
1517157443.487987995,402,135,0.167584920,1.004830756,0.300000000,nan,nan,0,0,2420,1137,fitness_reject
1517157445.202487946,406,228,0.082088404,nan,nan,nan,nan,0,0,2982,1126,icp_not_converged
1517157446.009305954,408,248,0.175670843,nan,nan,nan,nan,0,0,2107,1048,icp_not_converged
1517157447.623006105,412,78,0.150971180,0.094190195,0.300000000,0.025726898,0.000690575,0,1,3252,1075,accepted
1517157449.438364983,417,211,0.112592967,nan,nan,nan,nan,0,0,2699,1160,icp_not_converged
1517157449.740945101,418,28,0.170023364,8.187004957,0.300000000,nan,nan,0,0,3200,1068,fitness_reject
1517157450.043463945,419,211,0.163234761,nan,nan,nan,nan,0,0,2699,1098,icp_not_converged
1517157453.169950962,428,210,0.172597344,nan,nan,nan,nan,0,0,2687,1079,icp_not_converged
1517157454.178481102,430,59,0.159494171,0.198341321,0.300000000,0.099436535,0.000457467,0,1,2883,1079,accepted
1517157469.205709934,466,317,0.175384576,nan,nan,nan,nan,0,0,2356,1144,icp_not_converged
1517157472.634768009,474,327,0.160155141,nan,nan,nan,nan,0,0,2356,1114,icp_not_converged
1517157473.643307924,477,109,0.168740535,40.904912141,0.300000000,nan,nan,0,0,3088,1093,fitness_reject
1517157474.248414993,479,294,0.152594874,nan,nan,nan,nan,0,0,2691,1052,icp_not_converged
1517157474.853574991,481,401,0.148712341,41.895660052,0.300000000,nan,nan,0,0,3550,1103,fitness_reject
1517157478.181704998,489,299,0.139266968,nan,nan,nan,nan,0,0,2705,901,icp_not_converged
1517157479.291102886,491,65,0.133060324,11.481774379,0.300000000,nan,nan,0,0,3039,870,fitness_reject
