,experiments/subt_mrs_hawkins_long_corridor/results/adaptive_runtime_latest_evo.tum,experiments/subt_mrs_hawkins_long_corridor/results/fastlio_runtime_external_latest_evo.tum,experiments/subt_mrs_hawkins_long_corridor/results/liosam_runtime_external_latest_evo.tum
nr. of poses,1253.0,1136.0,623.0
path length (m),583.3686825603411,590.8466712047784,569.0109374368024
duration (s),277.549870967865,276.33960366249084,276.3396039009094
t_start (s),1517157221.4077582,1517157222.6180255,1517157222.416326
t_end (s),1517157498.9576292,1517157498.9576292,1517157498.75593
v_max (m/s),3.7019877757440462,9.546127623178888,4.057130080480632
v_min (m/s),0.0031939536176015383,0.002860798968628654,0.0014282447837022122
v_avg (m/s),2.1323079384511385,2.130527491609035,2.103709751375858
v_max (km/h),13.327155992678566,34.366059443444,14.605668289730275
v_min (km/h),0.011498233023365539,0.010298876287063155,0.005141681221327964
v_avg (km/h),7.6763085784240985,7.669898969792526,7.573355104953088
dt_max (s),1.6222796440124512,1.8154208660125732,14.724660158157349
dt_min (s),0.1965019702911377,0.1965019702911377,0.20163893699645996
dt_avg (s),0.2216852004535663,0.2434710164427232,0.4442758905159315
