frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1517157222.618025541,-0.000588254,-0.001733515,0.002612787,0.000172491,-0.000096667,-0.000164703,0.999999967,0,0.000000000,0,0.000000000
2,1517157222.718885183,-0.004183275,-0.002732772,0.004817076,0.000281884,-0.000094019,-0.000280618,0.999999916,0,0.000000000,0,0.000000000
3,1517157222.819745302,-0.003738626,-0.004611706,0.006581331,0.001038392,0.000242794,-0.000133978,0.999999422,27762,1517157222.718885183,0,0.000000000
4,1517157222.920605183,-0.000626814,-0.003541575,0.008103868,0.000731611,0.000136367,-0.000255066,0.999999691,27755,1517157222.819745302,0,0.000000000
5,1517157223.021395206,-0.000475899,-0.002136068,0.007316392,0.001865019,0.000549040,-0.000291589,0.999998068,27766,1517157222.920605183,27766,1517157223.021395206
6,1517157223.122255325,-0.002540927,-0.001721528,0.006244518,0.002049618,0.000617247,-0.000309131,0.999997661,27773,1517157223.021395206,27766,1517157223.021395206
7,1517157223.223115206,-0.003640537,-0.002093636,0.006481431,0.001674132,0.000449800,-0.000341355,0.999998439,27737,1517157223.122255325,27766,1517157223.021395206
8,1517157223.323975325,-0.004264271,-0.001558851,0.007493083,0.001635267,0.000467323,-0.000345893,0.999998494,27786,1517157223.223115206,27766,1517157223.021395206
9,1517157223.424835205,-0.003799986,-0.001366712,0.008089634,0.001527054,0.000457338,-0.000316027,0.999998680,27743,1517157223.323975325,27766,1517157223.021395206
10,1517157223.525695324,-0.004271346,-0.001361914,0.008361785,0.001830768,0.000533024,-0.000416882,0.999998095,27721,1517157223.424835205,27766,1517157223.021395206
11,1517157223.626555204,-0.004203604,-0.001140265,0.008434360,0.001891874,0.000577202,-0.000384139,0.999997970,27731,1517157223.525695324,27766,1517157223.021395206
12,1517157223.727415323,-0.002886308,-0.000213933,0.008357350,0.002448244,0.000798846,-0.000462915,0.999996577,27740,1517157223.626555204,27766,1517157223.021395206
13,1517157223.828275204,-0.003477393,-0.000749687,0.006536148,0.001968266,0.000756001,-0.000441878,0.999997680,27698,1517157223.727415323,27766,1517157223.021395206
14,1517157223.929135323,0.008975450,0.005488545,0.004382259,0.003386500,0.000610374,-0.000512056,0.999993948,27727,1517157223.828275204,27766,1517157223.021395206
15,1517157224.029935360,0.016580893,0.009889683,0.008692376,0.003831299,-0.000008727,0.000428532,0.999992569,27710,1517157223.929135323,55476,1517157224.029935360
16,1517157224.130795240,0.028974821,0.009807057,0.013222819,0.003300529,0.000132074,0.001222924,0.999993797,27756,1517157224.029935360,55476,1517157224.029935360
17,1517157224.231655359,0.043327460,0.008599334,0.017770299,0.002954777,-0.000416294,0.002245318,0.999993027,27745,1517157224.130795240,55476,1517157224.029935360
18,1517157224.332515955,0.070630929,0.009545561,0.021091417,0.002737643,-0.001163037,0.003185819,0.999990502,27694,1517157224.231655359,55476,1517157224.029935360
19,1517157224.433376312,0.115394982,0.012589938,0.013658540,0.002370714,-0.001344223,0.003914912,0.999988623,27536,1517157224.332515955,55476,1517157224.029935360
20,1517157224.534236193,0.165565352,0.015209256,0.010453630,0.000674649,-0.002217038,0.004369297,0.999987769,27232,1517157224.433376312,55476,1517157224.029935360
21,1517157224.635096312,0.223443754,0.014571615,0.002113358,0.001131651,-0.003236084,0.005154471,0.999980839,26546,1517157224.534236193,55476,1517157224.029935360
22,1517157224.735956192,0.296890687,0.020970670,-0.002884342,0.001187708,-0.004113172,0.007541161,0.999962400,26047,1517157224.635096312,55476,1517157224.029935360
23,1517157224.836816311,0.376359638,0.025432078,-0.003649344,0.000483007,-0.002678134,0.009055429,0.999955296,25547,1517157224.735956192,55476,1517157224.029935360
24,1517157224.937676191,0.460848445,0.025159825,-0.001416583,0.004218246,-0.002013334,0.011743246,0.999920121,25160,1517157224.836816311,55476,1517157224.029935360
25,1517157225.038473368,0.564923544,0.031116749,0.008308069,0.007671180,-0.006410531,0.022641487,0.999693664,24939,1517157224.937676191,55476,1517157224.029935360
26,1517157225.139333248,0.669478666,0.043331988,-0.008735001,0.001590216,-0.009721420,0.037951196,0.999231040,25203,1517157225.038473368,55476,1517157224.029935360
27,1517157225.240193605,0.785004149,0.054097688,-0.020759212,0.001021170,-0.010827520,0.036886762,0.999260271,25962,1517157225.139333248,55476,1517157224.029935360
28,1517157225.341053247,0.913395299,0.076571242,-0.028369693,0.012212710,-0.014502168,0.046173016,0.998753518,26606,1517157225.240193605,55476,1517157224.029935360
29,1517157225.439888239,1.053686649,0.100654698,-0.047909763,0.014834773,-0.010573386,0.072341405,0.997213545,27161,1517157225.341053247,55476,1517157224.029935360
30,1517157225.542773247,1.197659722,0.133884528,-0.074413111,0.022904465,-0.000989091,0.113135175,0.993315076,27636,1517157225.439888239,55476,1517157224.029935360
31,1517157225.643633366,1.347355634,0.172669015,-0.079890866,0.018188273,0.002082575,0.139455257,0.990059130,28244,1517157225.542773247,55476,1517157224.029935360
32,1517157225.744493246,1.499758826,0.229999126,-0.074046357,0.011003078,-0.001273984,0.159442526,0.987145070,27816,1517157225.643633366,55476,1517157224.029935360
33,1517157225.845353365,1.663168717,0.293196418,-0.078414486,0.007507439,-0.003029826,0.161388308,0.986857777,28551,1517157225.744493246,55476,1517157224.029935360
34,1517157225.946213245,1.829338719,0.352664436,-0.091539359,0.007086996,-0.003735035,0.162083401,0.986744544,28899,1517157225.845353365,55476,1517157224.029935360
35,1517157226.047013521,2.001504834,0.420939058,-0.096633267,0.009697084,-0.003855203,0.165373042,0.986175877,28887,1517157225.946213245,55476,1517157224.029935360
36,1517157226.147873402,2.174957216,0.488818822,-0.112670963,0.007965082,-0.004774011,0.171025957,0.985222761,28900,1517157226.047013521,55476,1517157224.029935360
37,1517157226.248733282,2.352328062,0.556804256,-0.118948799,0.013185663,-0.005099557,0.169934701,0.985353911,28888,1517157226.147873402,55476,1517157224.029935360
