frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp,incremental_degenerate,incremental_stamp,imu_speed,imu_stamp,deskew_points,deskew_stamp,corner_points,corner_stamp,surface_points,surface_stamp
1,1517157222.416326046,0.000000000,0.000000000,0.000000000,0.012756741,-0.025271336,0.000322509,0.999599180,0,0.000000000,0,0.000000000,0,0.000000000,0.000000000,0.000000000,26978,1517157222.416326046,279,1517157222.416326046,3141,1517157222.416326046
2,1517157222.618046045,-0.001215090,-0.001034591,0.001798183,0.012128763,-0.025386343,0.000354232,0.999604072,2728,1517157222.416326046,0,0.000000000,0,1517157222.416326046,0.000000000,0.000000000,27057,1517157222.618046045,281,1517157222.618046045,3155,1517157222.618046045
3,1517157222.819766045,-0.000770949,-0.000956804,0.001479528,0.012244513,-0.025380286,0.000386773,0.999602803,2737,1517157222.618046045,0,0.000000000,0,1517157222.618046045,0.042221771,1517157223.033967972,27043,1517157222.819766045,278,1517157222.819766045,3150,1517157222.819766045
4,1517157223.021415949,0.000908453,0.000022790,-0.000422144,0.012412449,-0.025320973,0.000411282,0.999602226,2718,1517157222.819766045,0,0.000000000,0,1517157222.819766045,0.040821476,1517157223.233968019,27024,1517157223.021415949,279,1517157223.021415949,3144,1517157223.021415949
5,1517157223.223135948,0.001241104,0.000903755,-0.000415497,0.012269673,-0.025363947,0.000381156,0.999602911,2724,1517157223.021415949,0,0.000000000,0,1517157223.021415949,0.054301798,1517157223.543967962,26967,1517157223.223135948,277,1517157223.223135948,3160,1517157223.223135948
6,1517157223.424855947,0.000824732,0.000439808,-0.001070770,0.011812343,-0.025515727,0.000379474,0.999604558,2729,1517157223.223135948,0,0.000000000,0,1517157223.223135948,0.054479548,1517157223.633968115,27023,1517157223.424855947,281,1517157223.424855947,3146,1517157223.424855947
7,1517157223.626575947,0.000467149,0.000361822,-0.002549101,0.012169831,-0.025381046,0.000499354,0.999603646,2718,1517157223.424855947,0,0.000000000,0,1517157223.424855947,0.053225375,1517157223.838975906,26956,1517157223.626575947,277,1517157223.626575947,3144,1517157223.626575947
8,1517157223.828295946,0.000703868,0.000794402,-0.004004593,0.011689336,-0.025070979,0.000433733,0.999617235,2711,1517157223.626575947,0,0.000000000,0,1517157223.626575947,0.095435802,1517157224.143903971,27011,1517157223.828295946,270,1517157223.828295946,3139,1517157223.828295946
9,1517157224.029957056,0.016876411,0.002541472,0.013849771,0.007162289,-0.027757624,0.001254848,0.999588236,2699,1517157223.828295946,0,0.000000000,0,1517157223.828295946,0.182873227,1517157224.248912096,27019,1517157224.029957056,284,1517157224.029957056,3148,1517157224.029957056
10,1517157224.231677055,0.051355373,-0.000760320,0.003832715,0.008247609,-0.028090026,0.003030575,0.999566778,2710,1517157224.029957056,0,0.000000000,0,1517157224.029957056,0.382565779,1517157224.448911905,26820,1517157224.231677055,284,1517157224.231677055,3163,1517157224.231677055
11,1517157224.433397055,0.131057113,0.002211240,0.010652708,0.007017684,-0.028709132,0.004577880,0.999552690,2723,1517157224.231677055,0,0.000000000,0,1517157224.231677055,0.568319924,1517157224.648911953,25954,1517157224.433397055,291,1517157224.433397055,3075,1517157224.433397055
12,1517157224.635117054,0.264439613,0.016387420,0.005497714,0.007044189,-0.038792120,0.006052884,0.999204140,2660,1517157224.433397055,0,0.000000000,0,1517157224.433397055,0.789576790,1517157224.853904009,24929,1517157224.635117054,306,1517157224.635117054,3104,1517157224.635117054
13,1517157224.836837053,0.418783516,0.024034681,0.012060963,0.005628758,-0.040884797,0.009684136,0.999101080,2696,1517157224.635117054,323,1517157224.735976934,0,1517157224.635117054,1.006895109,1517157225.053839922,24360,1517157224.836837053,318,1517157224.836837053,3084,1517157224.836837053
14,1517157225.038494110,0.608186781,0.037749290,0.021009324,0.010493799,-0.044543542,0.023788661,0.998669041,2681,1517157224.836837053,323,1517157224.735976934,0,1517157224.836837053,1.215340182,1517157225.248847961,25441,1517157225.038494110,319,1517157225.038494110,3083,1517157225.038494110
15,1517157225.240214109,0.840340257,0.069908291,0.028032500,0.006985051,-0.045754933,0.037912322,0.998208571,2656,1517157225.038494110,323,1517157224.735976934,0,1517157225.038494110,1.437454682,1517157225.453840017,26566,1517157225.240214109,326,1517157225.240214109,3065,1517157225.240214109
16,1517157225.542793989,1.251512170,0.160120770,0.040965993,0.018389216,-0.037347507,0.115421804,0.992443856,2651,1517157225.240214109,323,1517157224.735976934,0,1517157225.240214109,1.698794594,1517157225.758847952,27209,1517157225.542793989,306,1517157225.542793989,2960,1517157225.542793989
17,1517157225.744513988,1.562459946,0.279802680,0.047187887,0.005286042,-0.038683439,0.160165121,0.986317790,2508,1517157225.542793989,323,1517157224.735976934,0,1517157225.542793989,1.859568094,1517157225.958848000,28154,1517157225.744513988,328,1517157225.744513988,2911,1517157225.744513988
18,1517157225.946233988,1.888802528,0.400546461,0.061612375,-0.001893193,-0.041677959,0.163898291,0.985594599,2470,1517157225.744513988,323,1517157224.735976934,0,1517157225.744513988,1.961007252,1517157226.163775921,28109,1517157225.946233988,325,1517157225.946233988,2996,1517157225.946233988
19,1517157226.147893906,2.244085312,0.536224306,0.052659694,-0.004154390,-0.042912415,0.172873184,0.984000065,2510,1517157225.946233988,323,1517157224.735976934,0,1517157225.946233988,2.046682508,1517157226.363775969,28032,1517157226.147893906,301,1517157226.147893906,2926,1517157226.147893906
20,1517157226.349615097,2.608110428,0.687535882,0.050023191,0.004965756,-0.038629541,0.175099200,0.983780143,2434,1517157226.147893906,323,1517157224.735976934,0,1517157226.147893906,2.032795296,1517157226.563776016,27859,1517157226.349615097,293,1517157226.349615097,2915,1517157226.349615097
21,1517157226.551335096,2.960994959,0.868945420,0.039509613,0.024208383,-0.011111006,0.271165891,0.962163998,2448,1517157226.349615097,323,1517157224.735976934,0,1517157226.349615097,2.007329435,1517157226.773776054,28142,1517157226.551335096,255,1517157226.551335096,3084,1517157226.551335096
22,1517157226.753055096,3.269869804,1.110470295,0.053682502,0.003870998,-0.030338427,0.286499417,0.957592126,2570,1517157226.551335096,323,1517157224.735976934,0,1517157226.551335096,1.997318853,1517157226.968784094,27929,1517157226.753055096,218,1517157226.753055096,2965,1517157226.753055096
23,1517157226.954775095,3.596244574,1.308708787,0.055791270,-0.010276463,-0.032096539,0.239434543,0.970327422,2374,1517157226.753055096,323,1517157224.735976934,0,1517157226.753055096,1.992912929,1517157227.178719997,27878,1517157226.954775095,225,1517157226.954775095,2875,1517157226.954775095
24,1517157227.156433105,3.940509558,1.498734355,0.067312822,-0.006853948,-0.030549618,0.246829838,0.968552929,2297,1517157226.954775095,323,1517157224.735976934,0,1517157226.954775095,2.003263619,1517157227.373712063,28033,1517157227.156433105,214,1517157227.156433105,2942,1517157227.156433105
25,1517157227.358153105,4.256177425,1.692112207,0.042227909,0.000583036,-0.029093615,0.254511574,0.966631822,2379,1517157227.156433105,323,1517157224.735976934,0,1517157227.156433105,1.974981914,1517157227.578720093,28162,1517157227.358153105,216,1517157227.358153105,2998,1517157227.358153105
26,1517157227.559873104,4.584452629,1.925545812,0.049550939,0.008766954,-0.022409904,0.295388109,0.955074239,2432,1517157227.358153105,323,1517157224.735976934,0,1517157227.358153105,1.879974465,1517157227.778719902,28028,1517157227.559873104,200,1517157227.559873104,3097,1517157227.559873104
27,1517157227.761593103,4.917622566,2.133169413,0.047856290,-0.015251329,-0.031220540,0.240621895,0.969996793,2499,1517157227.559873104,323,1517157224.735976934,0,1517157227.559873104,1.740535821,1517157228.003648043,28213,1517157227.761593103,207,1517157227.761593103,3163,1517157227.761593103
