frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1517157221.206058979,1517157221.306898355,1,0,0,0,0.011795077,-0.025138236,-0.005493179,-0.000433046,-0.000589328,0.004795062,0.999988236,783,635,0.810983397,0.037650720,0.019150440,0.015671395,0.564657410,32.196486167,0.000000000,0.564657410,0.000000000,0.000000000,0.000000000,32.196486167,0,345,344,1,0.440613027,57,0,0,0,0,0,377,61,863,345,57,0,0,377
2,1517157221.306919098,1517157221.407758236,1,0,0,0,0.015604584,-0.027165659,-0.001792338,-0.001046607,-0.000663826,0.004394308,0.999989577,778,637,0.818766067,0.033058114,0.012968568,0.010531629,0.557055020,33.333836519,0.000000000,0.560856215,0.064950953,0.005684981,0.000800640,32.765161343,0,155,153,2,0.199228792,61,0,0,0,0,0,558,65,891,500,118,0,0,935
3,1517157221.407778978,1517157221.508618355,1,0,0,0,0.018580858,-0.032198350,0.010453208,0.002304684,-0.003587880,0.005538910,0.999975568,772,604,0.782383420,0.034864204,0.015589510,0.011865805,0.558366656,26.843858516,0.000000000,0.560026362,0.053681632,0.019254785,0.003072128,30.791393734,0,233,223,10,0.301813472,61,0,0,0,0,0,474,65,966,733,179,0,0,1409
4,1517157221.508639097,1517157221.609478235,1,0,0,0,0.024747290,-0.027512280,-0.030522013,0.008223247,-0.019006414,0.010338319,0.999732091,761,576,0.756898817,0.052277618,0.027706675,0.021438839,0.585562088,27.874912703,0.000000000,0.566410294,0.192015372,0.060955539,0.012385372,30.062273476,0,224,210,14,0.294349540,58,0,0,0,0,0,475,62,1074,957,237,0,0,1884
5,1517157221.609498978,1517157221.710338354,1,0,0,0,0.051092897,-0.027134461,-0.034112804,0.009415985,-0.011079077,0.013631195,0.999801372,755,579,0.766887417,0.036433283,0.019033388,0.013902788,0.524169873,23.967130428,0.000000000,0.557962209,0.177187574,0.087547409,0.019069034,28.843244866,0,208,188,20,0.275496689,48,0,0,0,0,0,499,48,1164,1165,285,0,0,2383
6,1517157221.710359097,1517157221.811198235,1,0,0,0,0.075956911,-0.022592224,-0.045589085,0.010624547,-0.008714295,0.014165605,0.999805239,773,570,0.737386805,0.059137522,0.032879941,0.024087420,0.536039633,22.893920648,0.000000000,0.554308447,0.232733907,0.115306303,0.020159265,27.851690830,0,197,179,18,0.254851229,61,0,0,0,0,0,515,61,1259,1362,346,0,0,2898
7,1517157221.811218977,1517157221.912058353,1,0,0,0,0.081469306,-0.022747639,-0.041258759,0.009577946,-0.000580690,0.014057325,0.999855148,790,573,0.725316456,0.048089277,0.023798908,0.016628362,0.530892843,23.598634036,0.000000000,0.550963360,0.216570774,0.122317891,0.020204745,27.244111288,0,204,192,12,0.258227848,58,0,0,0,0,0,524,62,1360,1566,404,0,0,3422
8,1517157221.912080050,1517157222.012864351,1,0,0,0,0.078436578,-0.026214633,-0.038922763,0.008087220,-0.001871219,0.012911998,0.999882181,792,581,0.733585859,0.037052915,0.018268837,0.011874196,0.544532735,24.258693468,0.000000000,0.550159532,0.211484451,0.127482614,0.022514178,26.870934061,0,178,175,3,0.224747475,45,0,0,0,0,0,563,51,1424,1744,449,0,0,3985
9,1517157222.012886047,1517157222.113724232,1,0,0,0,0.071307256,-0.026624032,-0.031771780,0.007435876,-0.002444637,0.013114547,0.999883363,776,579,0.746134021,0.027320332,0.016662739,0.011905121,0.534676806,20.771882181,0.000000000,0.548439229,0.237757712,0.137588621,0.022913441,26.193261629,0,137,131,6,0.176546392,27,0,0,0,0,0,608,31,1482,1881,476,0,0,4593
10,1517157222.214606047,1517157222.315445185,1,0,0,0,0.063740512,-0.028730962,-0.034046116,0.007154925,-0.003389927,0.012852625,0.999886056,791,602,0.761061947,0.055849467,0.034641426,0.024360945,0.576247689,21.913117754,0.000000000,0.551220075,0.242816934,0.145765869,0.023449205,25.765247242,0,99,93,6,0.125158028,48,0,0,0,0,0,639,53,1517,1980,524,0,0,5232
