frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1681498136.124022007,1681498136.203272581,1,0,0,0,-0.006355930,-0.006381179,0.003584657,-0.001429527,0.000306715,-0.001772071,0.999997361,898,748,0.832962138,0.032044825,0.020874705,0.014524654,0.326994509,18.055455654,0.000000000,0.326994509,0.000000000,0.000000000,0.000000000,18.055455654,0,345,337,8,0.384187082,44,0,0,0,0,509,44,921,345,44,0,509
2,1681498136.224881887,1681498136.303137302,1,0,0,0,-0.003193471,0.000269729,0.005183316,-0.002271564,0.000715737,-0.001034991,0.999996628,886,709,0.800225734,0.037817862,0.025445139,0.016454178,0.324731511,18.286017950,0.000000000,0.325863010,0.082634053,0.007536010,0.001471787,18.170736802,0,324,319,5,0.365688488,46,0,0,0,0,516,46,977,669,90,0,1025
3,1681498136.325742006,1681498136.402836084,1,0,0,0,-0.003527860,0.005627030,0.009659028,-0.002947991,0.001075201,-0.002443925,0.999992090,887,694,0.782412627,0.041599097,0.030447309,0.018185851,0.316370021,19.123297574,0.000000000,0.322698681,0.105740282,0.014524893,0.004292739,18.488257059,0,231,229,2,0.260428410,34,0,0,0,0,622,34,1032,900,124,0,1647
4,1681498136.426601887,1681498136.502589226,1,0,0,0,-0.006588093,0.008833486,0.011290530,-0.002655701,0.001509119,-0.002838984,0.999991305,872,702,0.805045872,0.036829068,0.027996746,0.017361124,0.318292718,20.436426767,0.000000000,0.321597190,0.091852787,0.019248048,0.005084546,18.975299486,0,187,187,0,0.214449541,36,0,0,0,0,649,36,1072,1087,160,0,2296
5,1681498136.527461052,1681498136.602398872,1,0,0,0,-0.006968054,0.007065664,0.012362198,-0.001740240,0.002037796,-0.001975244,0.999994459,841,688,0.818073722,0.035575800,0.025542464,0.016450611,0.304007129,21.016939080,0.000000000,0.318079178,0.084409821,0.021349960,0.006812934,19.383627405,0,144,144,0,0.171224732,31,0,0,0,0,666,31,1088,1231,191,0,2962
6,1681498136.628320932,1681498136.702374220,1,0,0,0,-0.007837398,0.003047187,0.015090720,-0.000088940,0.002329085,-0.002637416,0.999993806,843,690,0.818505338,0.035661423,0.025170537,0.016674674,0.299516008,21.065605823,0.000000000,0.314985316,0.078269309,0.026284406,0.008130627,19.663957141,0,153,152,1,0.181494662,32,0,0,0,0,658,32,1103,1384,223,0,3620
7,1681498136.830040932,1681498136.930879354,1,0,0,0,-0.006680170,-0.004356086,0.020079487,0.004347091,0.001227791,-0.002379999,0.999986965,821,661,0.805115713,0.045134698,0.028051395,0.019150354,0.296145757,22.286512127,0.000000000,0.312293951,0.105708071,0.035286373,0.008656628,20.038607853,0,151,146,5,0.183922046,56,0,0,0,0,614,56,1143,1535,279,0,4234
8,1681498136.930901051,1681498137.031687260,1,0,0,0,0.002313146,-0.006467718,0.017096940,0.006934289,0.000655503,-0.004918570,0.999963646,813,634,0.779827798,0.042283827,0.025181912,0.017179904,0.277078999,24.834711268,0.000000000,0.307892082,0.104795855,0.044993809,0.013735194,20.638120780,0,148,143,5,0.182041820,41,0,0,0,0,624,41,1190,1683,320,0,4858
9,1681498137.031708002,1681498137.132547379,1,0,0,0,0.007691611,-0.009613468,0.009455667,0.009733592,0.000068938,-0.009048928,0.999911681,787,639,0.811944091,0.039602991,0.026833325,0.017445650,0.309880477,22.132386122,0.000000000,0.308113014,0.098964844,0.054853458,0.022003238,20.804150263,0,155,152,3,0.196950445,33,0,0,0,0,599,33,1225,1838,353,0,5457
10,1681498137.132567883,1681498137.232412100,1,0,0,0,0.002799656,-0.004744629,0.009499446,0.011547738,-0.006026457,-0.012588835,0.999835913,800,647,0.808750000,0.053209354,0.030453454,0.020032519,0.305923464,21.480466079,0.000000000,0.307894059,0.142668204,0.061755540,0.029224512,20.871781844,0,192,179,13,0.240000000,48,0,0,0,0,560,48,1290,2030,401,0,6017
